"season","week","game_id","gsis_id","sleeper_id","pfr_id","full_name","position","team","opponent","offensive_snaps","team_offensive_plays","snap_share_source","snap_share_derived","pass_play_personnel","team_pass_plays","route_participation","route_participation_definition","route_participation_reliability","targets","team_pass_att","target_share","receptions","air_yards","team_air_yards","air_yards_share","aDOT","targets_per_route_run","carries","team_rush_att","rush_share","position_group_rush_share","position_group_target_share","dropbacks","qb_scrambles","designed_rushes","red_zone_targets","red_zone_carries","inside_10_targets","inside_10_carries","goal_line_carries","end_zone_targets","team_rz_pass_att","team_rz_rush_att","rz_target_share","rz_carry_share","third_down_targets","third_down_carries","two_minute_targets","two_minute_carries","kick_returns","kick_return_yards","punt_returns","punt_return_yards","team_kick_returns","team_punt_returns","kick_return_opportunity_share","punt_return_opportunity_share","offense_domain_active","return_domain_active","team_offensive_plays_neutral_score_differential","overtime","prior_game_team","team_changed_since_prior_game"
2026,1,"2026_01_ATL_PIT","00-0023459","96","RodgAa00","Aaron Rodgers","QB","PIT","ATL",67,65,1,1.03076923076923,,47,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",0,47,0,0,0,407,0,,,0,18,0,,,42,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,TRUE,FALSE,3.12307692307692,FALSE,,FALSE
2026,1,"2026_01_ATL_PIT","00-0025565","650","FolkNi20","Nick Folk","K","ATL","PIT",0,60,0,0,,28,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,28,0,0,0,77,0,,,0,32,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,4,3,0,0,FALSE,FALSE,-5.28333333333333,FALSE,,FALSE
2026,1,"2026_01_TB_CIN","00-0026158","19","FlacJo00","Joe Flacco","QB","CIN","TB",0,63,0,0,,38,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",0,38,0,0,0,226,0,,,0,25,0,,,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,6,,0,,FALSE,FALSE,8.85714285714286,FALSE,,FALSE
2026,1,"2026_01_BAL_IND","00-0026190","125","CampCa99","Calais Campbell","DL","BAL","IND",0,64,0,0,,32,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,32,0,0,0,270,0,,,0,32,0,,,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,5,5,0,0,FALSE,FALSE,11.125,FALSE,,FALSE
2026,1,"2026_01_SF_LA","00-0026498","421","StafMa00","Matthew Stafford","QB","LAR","SF",51,60,0.84,0.85,,33,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",0,33,0,0,0,255,0,,,1,27,0.037037037037037,,,25,0,1,0,1,0,1,1,0,2,7,0,0.142857142857143,0,0,0,0,0,0,0,0,5,1,0,0,TRUE,FALSE,-9.48333333333334,FALSE,,FALSE
2026,1,"2026_01_DAL_NYG","00-0027940","871","MillVo00","Von Miller","LB","DAL","NYG",0,58,0,0,,41,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,41,0,0,0,309,0,,,0,17,0,,,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,5,,0,,FALSE,FALSE,-8.68965517241379,FALSE,,FALSE
2026,1,"2026_01_ATL_PIT","00-0027969","843","HeywCa01","Cameron Heyward","DL","PIT","ATL",0,65,0,0,,47,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,47,0,0,0,407,0,,,0,18,0,,,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,FALSE,FALSE,3.12307692307692,FALSE,,FALSE
2026,1,"2026_01_ARI_LAC","00-0028845","1238","HarrJo02","Josh Harris","LS","LAC","ARI",0,55,0,0,,39,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,39,0,0,0,273,0,,,0,16,0,,,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,4,1,0,0,FALSE,FALSE,-5.67272727272727,FALSE,,FALSE
2026,1,"2026_01_MIA_LV","00-0029604","1166","CousKi00","Kirk Cousins","QB","LV","MIA",68,65,1,1.04615384615385,,32,,"pass_play_personnel_share","PROXY_PERSONNEL_PRESENCE",0,32,0,0,0,226,0,,,1,33,0.0303030303030303,,,30,0,1,0,0,0,0,0,0,8,4,0,0,0,1,0,0,0,0,0,0,2,4,0,0,TRUE,FALSE,7.52307692307692,FALSE,,FALSE
2026,1,"2026_01_GB_MIN","00-0029606","1213","SmitHa00","Harrison Smith","DB","MIN","GB",0,62,0,0,,34,,"pass_play_personnel_share","UNRELIABLE_NON_ELIGIBLE_POSITION",0,34,0,0,0,176,0,,,0,28,0,,,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,5,1,0,0,FALSE,FALSE,-5.9516129032258,FALSE,,FALSE
