"gsis_id","full_name","season","through_week","domain","dimension","trend","evidence_state","confidence","latest","baseline_recent","baseline_season","baseline_prior","delta","n_games_season","opportunity_total"
"00-0026498","Matthew Stafford",2026,1,"PARTICIPATION","snap_share_derived","CONTRACTING","TENTATIVE","MEDIUM",0.85,1.00876667691311,,1.00875539578213,-0.158766676913109,1,51
"00-0030279","Keenan Allen",2026,1,"PARTICIPATION","snap_share_derived","EXPANDING","TENTATIVE","MEDIUM",0.666666666666667,0.55836127420247,,0.557679014237353,0.108305392464197,1,36
"00-0030279","Keenan Allen",2026,1,"RECEIVING","air_yards_share","CONTRACTING","TENTATIVE","LOW",0.109452736318408,0.208246728757192,,0.208134697472633,-0.0987939924387839,1,6
"00-0030506","Travis Kelce",2026,1,"PARTICIPATION","snap_share_derived","CONTRACTING","TENTATIVE","MEDIUM",0.742424242424242,0.873977365140624,,0.873883750857931,-0.131553122716382,1,49
"00-0030565","Geno Smith",2026,1,"PARTICIPATION","snap_share_derived","EXPANDING","TENTATIVE","MEDIUM",1.046875,0.936636379449602,,0.936440126199949,0.110238620550398,1,67
"00-0031381","Davante Adams",2026,1,"PARTICIPATION","snap_share_derived","CONTRACTING","TENTATIVE","MEDIUM",0.55,0.665027573180108,,0.664390033602675,-0.115027573180108,1,33
"00-0031408","Mike Evans",2026,1,"RECEIVING","position_group_target_share","EXPANDING","TENTATIVE","LOW",0.411764705882353,0.314758161031497,,0.300892631116988,0.0970065448508561,1,7
"00-0031484","Chris Manhertz",2026,1,"PARTICIPATION","snap_share_derived","EXPANDING","TENTATIVE","MEDIUM",0.363636363636364,0.25089326893936,,0.250519808247579,0.112743094697003,1,24
"00-0031588","Stefon Diggs",2026,1,"RECEIVING","air_yards_share","EXPANDING","TENTATIVE","LOW",0.261829652996845,0.110652495885453,,0.110495678555168,0.151177157111393,1,9
"00-0031588","Stefon Diggs",2026,1,"RECEIVING","position_group_target_share","EXPANDING","TENTATIVE","LOW",0.45,0.294725825730472,,0.294619023645292,0.155274174269528,1,9
"00-0031588","Stefon Diggs",2026,1,"RECEIVING","target_share","EXPANDING","TENTATIVE","LOW",0.219512195121951,0.13338850252804,,0.133340795473641,0.086123692593911,1,9
"00-0031610","Darren Waller",2026,1,"PARTICIPATION","snap_share_derived","CONTRACTING","TENTATIVE","MEDIUM",0.352941176470588,0.455811937625905,,0.449295485183068,-0.102870761155316,1,24
"00-0032104","Ameer Abdullah",2026,1,"RUSHING","position_group_rush_share","EXPANDING","TENTATIVE","LOW",0.16,0.0383620918357889,,0.0347146919961002,0.121637908164211,1,4
"00-0032104","Ameer Abdullah",2026,1,"RUSHING","rush_share","EXPANDING","TENTATIVE","LOW",0.137931034482759,0.034810560563523,,0.0317106868863422,0.103120473919236,1,4
"00-0032392","Austin Hooper",2026,1,"PARTICIPATION","snap_share_derived","CONTRACTING","TENTATIVE","MEDIUM",0.233333333333333,0.438717207138583,,0.43857539289765,-0.20538387380525,1,14
"00-0032398","Chris Moore",2026,1,"RETURNS","kick_return_opportunity_share","EXPANDING","TENTATIVE","LOW",0.8,0.189357124365201,,0.189347240964068,0.6106428756348,1,4
"00-0032464","Kalif Raymond",2026,1,"PARTICIPATION","snap_share_derived","EXPANDING","TENTATIVE","MEDIUM",0.6,0.24582147039723,,0.245686185856435,0.35417852960277,1,45
