"team","run_gap","carries_allowed","yards_per_carry_allowed","epa_per_rush_allowed","success_rate_allowed","explosive_rate_allowed","evidence_class","output_class","window"
"ARI","END",1185,5.32067510548523,0.02146102020321,0.441350210970464,0.151898734177215,"STRONG","OBSERVED","career"
"ARI","GUARD",735,4.05986394557823,-0.0811629377207166,0.382312925170068,0.0639455782312925,"STRONG","OBSERVED","career"
"ARI","TACKLE",1429,4.15325402379287,-0.130269939650124,0.358292512246326,0.0846745976207138,"STRONG","OBSERVED","career"
"ATL","END",1397,4.85755189692198,-0.0079669317372848,0.45025053686471,0.114531138153185,"STRONG","OBSERVED","career"
"ATL","GUARD",1756,4.13439635535307,-0.0330448020514924,0.42995444191344,0.0506833712984055,"STRONG","OBSERVED","career"
"ATL","TACKLE",1550,4.14838709677419,-0.0793593887432716,0.381935483870968,0.0645161290322581,"STRONG","OBSERVED","career"
"BAL","END",959,4.60896767466111,-0.0625344328794172,0.421272158498436,0.103232533889468,"STRONG","OBSERVED","career"
"BAL","GUARD",2054,3.79065238558909,-0.125881731845609,0.355890944498539,0.0472249269717624,"STRONG","OBSERVED","career"
"BAL","TACKLE",1243,4.34352373290427,-0.0581475491229793,0.37087691069992,0.078841512469831,"STRONG","OBSERVED","career"
"BUF","END",1062,5.52165725047081,0.10975554228367,0.483050847457627,0.145009416195857,"STRONG","OBSERVED","career"
"BUF","GUARD",1512,4.26917989417989,-0.0452888355525785,0.369708994708995,0.0806878306878307,"STRONG","OBSERVED","career"
"BUF","TACKLE",1204,4.45265780730897,-0.0718481585396642,0.367940199335548,0.0921926910299003,"STRONG","OBSERVED","career"
"CAR","END",1178,4.96010186757215,0.0212757350501906,0.446519524617996,0.131578947368421,"STRONG","OBSERVED","career"
"CAR","GUARD",1439,4.21820708825573,-0.0504603837715478,0.382904794996525,0.0611535788742182,"STRONG","OBSERVED","career"
"CAR","TACKLE",1383,4.47360809833695,-0.0533619437756827,0.374548083875632,0.081706435285611,"STRONG","OBSERVED","career"
"CHI","END",1378,4.83526850507982,-0.00764478207631144,0.426705370101596,0.113207547169811,"STRONG","OBSERVED","career"
"CHI","GUARD",1712,4.16588785046729,-0.0276747058552638,0.408878504672897,0.0660046728971963,"STRONG","OBSERVED","career"
"CHI","TACKLE",1651,4.5923682616596,-0.0574589914687904,0.384009691096305,0.0793458509993943,"STRONG","OBSERVED","career"
"CIN","END",1223,5.38675388389207,0.0732921396883243,0.462796402289452,0.133278822567457,"STRONG","OBSERVED","career"
"CIN","GUARD",1838,4.22578890097933,-0.026950735057764,0.406964091403699,0.0745375408052231,"STRONG","OBSERVED","career"
"CIN","TACKLE",1474,4.44843962008141,-0.0535506044789563,0.396879240162822,0.0766621438263229,"STRONG","OBSERVED","career"
"CLE","END",1068,5.70224719101124,0.102121197571636,0.470037453183521,0.155430711610487,"STRONG","OBSERVED","career"
"CLE","GUARD",2360,4.04025423728813,-0.0663201037449261,0.370762711864407,0.0614406779661017,"STRONG","OBSERVED","career"
"CLE","TACKLE",1450,4.61448275862069,-0.0303736632643733,0.407586206896552,0.0958620689655172,"STRONG","OBSERVED","career"
"DAL","END",1497,5.18303273213093,0.0424332735404762,0.463593854375417,0.144288577154309,"STRONG","OBSERVED","career"
"DAL","GUARD",1155,4.05887445887446,-0.0772699228093736,0.400865800865801,0.058008658008658,"STRONG","OBSERVED","career"
"DAL","TACKLE",1462,4.51231190150479,-0.0422740439393883,0.376196990424077,0.0834473324213406,"STRONG","OBSERVED","career"
