"gsis_id","full_name","position","nfl_team","sleeper_id","pfr_id","espn_id","yahoo_id"
"00-0040676","Cam Ward","QB","TEN","12522","WardCa00","4688380",
"00-0040668","Shedeur Sanders","QB","CLE","12524","SandSh00","4432762",
"00-0040691","Jaxson Dart","QB","NYG","12508","DartJa00","4689114",
"00-0040234","Quinn Ewers","QB","JAC","12500","EwerQu00","4889929",
"00-0040206","Riley Leonard","QB","IND","12470","LeonRi02","4683423",
"00-0040704","Dillon Gabriel","QB","CLE","12486","GabrDi00","4427238",
"00-0040743","Tyler Shough","QB","NOS","12545","ShouTy00","4360689",
"00-0040398","Brady Cook","QB","MIA","12538","CookBr03","4429435",
"00-0040122","Ashton Jeanty","RB","LVR","12527","JeanAs00","4890973",
"00-0040734","TreVeyon Henderson","RB","NEP","12529","HendTr02","4432710",
"00-0040666","Omarion Hampton","RB","LAC","12507","HampOm00","4685382",
"00-0040715","Cam Skattebo","RB","NYG","12481","SkatCa00","4696981",
"00-0040202","Devin Neal","RB","NOS","12476","NealDe00","4682652",
"00-0040162","Dylan Sampson","RB","CLE","12469","SampDy00","5081397",
"00-0040142","Kaleb Johnson","RB","GBP","12504","JohnKa03","4819231",
"00-0040078","Brashard Smith","RB","KCC","12455","SmitBr09","4596602",
"00-0040784","Quinshon Judkins","RB","CLE","12512","JudkQu00","4685702",
"00-0040719","Bhayshul Tuten","RB","JAC","12490","TuteBh00","4882093",
"00-0040583","Woody Marks","RB","HOU","12474","MarkWo00","4429059",
"00-0040644","Trevor Etienne","RB","CAR","12531","EtieTr01","4685350",
"00-0040198","Ollie Gordon","RB","MIA","12495","GordOl00","4711533",
"00-0040179","DJ Giddens","RB","IND","12471","GiddDJ00","4874509",
"00-0040238","LeQuint Allen","RB","JAC","12544","AlleLe01","4911851",
"00-0040466","Raheim Sanders","RB","CLE","12472","SandRa00","4601080",
"00-0040236","Kyle Monangai","RB","CHI","12534","MonaKy00","4608686",
"00-0040730","RJ Harvey","RB","DEN","12489","HarvRJ00","4568490",
"00-0040586","Jaydon Blue","RB","PHI","12457","BlueJa01","4685279",
"00-0040735","Luther Burden","WR","CHI","12519","BurdLu00","4685278",
"00-0040124","Tetairoa McMillan","WR","CAR","12526","McMiTe00","4685472",
"00-0040727","Tre Harris","WR","LAC","12509","HarrTr03","4686612",
"00-0040170","Elic Ayomanor","WR","TEN","12499","AyomEl00","4883647",
"00-0040718","Travis Hunter","WR","JAC","12530","HuntTr00","4685415",
"00-0040667","Matthew Golden","WR","GBP","12501","GoldMa02","4701936",
"00-0040782","Isaiah Bond","WR","CLE","12503","BondIs00","4808839",
"00-0040729","Jack Bech","WR","LVR","12483","BechJa00","4603186",
"00-0040237","Tez Johnson","WR","TBB","12485","JohnTe03","4608810",
"00-0040138","Jaylin Noel","WR","HOU","12536","NoelJa00","4586312",
"00-0040129","Emeka Egbuka","WR","TBB","12514","EgbuEm01","4567750",
"00-0040134","Pat Bryant","WR","DEN","12492","BryaPa00","4600981",
"00-0040130","Jayden Higgins","WR","HOU","12484","HiggJa00","4877706",
"00-0040581","Dont'e Thornton","WR","LVR","12541","ThorDo00","4432775",
"00-0040648","Tory Horton","WR","SEA","12497","HortTo00","4597703",
"00-0040189","Oronde Gadsden","TE","LAC","12493","GadsOr01","4595342",
"00-0040128","Tyler Warren","TE","IND","12518","WarrTy00","4431459",
"00-0040663","Harold Fannin","TE","CLE","12506","FannHa00","5083076",
"00-0040126","Colston Loveland","TE","CHI","12517","LoveCo00","4723086",
"00-0040584","Gunnar Helm","TE","TEN","12502","HelmGu00","4686728",
"00-0040736","Mason Taylor","TE","NYJ","12498","TaylMa02","4808766",
"00-0040737","Terrance Ferguson","TE","LAR","12487","FergTe00","4570037",
"00-0040739","Elijah Arroyo","TE","SEA","12521","ArroEl00","4678006",
"00-0040187","Mitchell Evans","TE","CAR","12473","EvanMi01","4683243",
"00-0040131","Kyle Williams","WR","NEP","12547","WillKy03","4613202",
"00-0040669","Isaac TeSlaa","WR","DET","12535","TeSlIs00","5123663",
"00-0040705","Chimere Dike","WR","TEN","12540","DikeCh00","4431268",
"00-0040164","Jaylin Lane","WR","WAS","12641","LaneJa00","4602667",
"00-0040590","Konata Mumpfield","WR","LAR","12718","MumpKo00","4710855",
"00-0040242","Jacory Croskey-Merritt","RB","WAS","12533","CrosJa00","4575131",
"00-0040494","Max Brosmer","QB","MIN","12775","BrosMa00","4573398",
"00-0039918","Caleb Williams","QB","CHI","11560","WillCa03","4431611","40900"
"00-0039851","Drake Maye","QB","NEP","11564","MayeDr00","4431452","40881"
"00-0039910","Jayden Daniels","QB","WAS","11566","DaniJa02","4426348","40896"
"00-0039732","Bo Nix","QB","DEN","11563","NixxBo00","4426338","40875"
"00-0039917","Michael Penix Jr.","QB","ATL","11559","PeniMi00","4360423","40889"
"00-0039923","J.J. McCarthy","QB","MIN","11565","McCaJJ00","4433970","40905"
"00-0039398","Joe Milton","QB","FA","11557","MiltJo00","4360698","41060"
"00-0039376","Spencer Rattler","QB","NOS","11562","RattSp00","4426339","41043"
"00-0039738","Blake Corum","RB","LAR","11586","CoruBl00","4429096","40962"
"00-0039921","Trey Benson","RB","ARI","11589","BensTr01","4429275","40958"
"00-0039373","Audric Estime","RB","NOS","11579","EstiAu00","4569682","41019"
"00-0039794","Braelon Allen","RB","NYJ","11576","AlleBr05","4685247","40981"
"00-0039361","Bucky Irving","RB","TBB","11584","IrviBu00","4596448","40993"
"00-0039746","Will Shipley","RB","PHI","11577","ShipWi00","4431545","41002"
"00-0039875","Ray Davis","RB","BUF","11575","DaviRa04","4429501","40980"
"00-0039299","George Holani","RB","SEA","12048","HolaGe00","4429835","41344"
"00-0039874","Jaylen Wright","RB","MIA","11643","WrigJa04","4682745","41010"
"00-0039325","Carson Steele","RB","PHI","11582","SteeCa00","4714365","41464"
"00-0039849","Marvin Harrison Jr.","WR","ARI","11628","HarrMa09","4432708","40893"
"00-0039337","Malik Nabers","WR","NYG","11632","NabeMa00","4595348","40899"
"00-0039919","Rome Odunze","WR","CHI","11620","OdunRo00","4431299","40901"
"00-0039901","Keon Coleman","WR","BUF","11637","ColeKe02","4635008","40911"
"00-0039893","Brian Thomas Jr.","WR","JAC","11631","ThomBr06","4432773","40883"
"00-0039868","Troy Franklin","WR","DEN","11627","FranTr00","4431280","41009"
"00-0039894","Xavier Worthy","WR","KCC","11624","WortXa00","4683062","40877"
"00-0039916","Ricky Pearsall","WR","SFO","11638","PearRi00","4428209","40892"
"00-0039379","Jamari Thrash","WR","CLE","11633","ThraJa01","4428678","41016"
"00-0039890","Adonai Mitchell","WR","NYJ","11625","MitcAd00","4597500","40915"
"00-0039915","Ladd McConkey","WR","LAC","11635","McCoLa00","4612826","40908"
"00-0039855","Jalen McMillan","WR","TBB","11618","McMiJa01","4430834","40954"
"00-0039739","Roman Wilson","WR","PIT","11630","WilsRo02","4431492","40952"
"00-0039451","Isaiah Williams","WR","NYJ","11608","WillIs03","4569371","41421"
"00-0039907","Ja'Lynn Polk","WR","FA","11619","PolkJa00","4430637","40914"
"00-0039751","Jordan Whittington","WR","LAR","11623","WhitJo04","4569382","41083"
"00-0039355","Luke McCaffrey","WR","WAS","11650","McCaLu00","4426948","40964"
"00-0039920","Malachi Corley","WR","CLE","11617","CorlMa00","4613104","40944"
"00-0039342","Xavier Legette","WR","CAR","11626","LegeXa00","4430034","40890"
"00-0039338","Brock Bowers","TE","LVR","11604","BoweBr01","4432665","40878"
"00-0039359","Cade Stover","TE","HOU","11599","StovCa00","4426496","40987"
"00-0039356","Ja'Tavion Sanders","TE","CAR","11600","SandJa01","4431588","40995"
"00-0039814","Erick All","TE","CIN","11592","AllxEr00","4427834","40989"
