"gsis_id","deep_rate","behind_los_rate","middle_rate","intermediate_middle_rate","deep_epa","short_epa","aDOT","pressure_epa_delta","pressure_scramble_rate","play_action_rate","archetype_cluster","archetype_label_status","vector_version"
"00-0000865",0.171428571428571,0.185714285714286,0.271428571428571,0.0571428571428571,-0.0885068782513859,-0.0248937344955761,9.47142857142857,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0007091",0.0975609756097561,0.144465290806754,0.225140712945591,0.0562851782363977,0.0830109878790887,0.0134787019481885,7.49906191369606,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0010346",0.124364308830328,0.0966250577901063,0.208044382801664,0.0494683310217291,0.490087184159925,0.193556901016964,8.41100323624596,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0019596",0.120769345459967,0.141941255404801,0.258834053973461,0.0726107052333383,0.364930280308135,0.193665122935264,8.12971522290145,-0.295051187033041,0,0.13031914893617,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0020245",0.142644873699851,0.151560178306092,0.175334323922734,0.0549777117384844,0.179529961961465,-0.0171569834321367,9.40267459138187,,,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0020531",0.10385226370135,0.162827640984909,0.215845909451946,0.0615567911040508,0.58141850810811,0.15213213413435,7.36795075456711,-0.192543744055551,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0020679",0.141342756183746,0.130742049469965,0.240282685512367,0.0424028268551237,0.16960089352507,-0.0313694619290895,8.32155477031802,-0.879489097751203,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0021206",0.120185922974768,0.138114209827357,0.221115537848606,0.0677290836653386,0.314816345464632,0.0583564896209606,8.51128818061089,-0.256046787594212,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0021429",0.127775755369494,0.116490717145977,0.275937386239534,0.0855478704040772,0.18355131956344,0.0835502652208109,9.44011649071714,-0.275124139613817,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
"00-0021678",0.107594936708861,0.111047180667434,0.267548906789413,0.0822784810126582,0.373499378070079,0.171337018809594,8.51898734177215,-1.49111412389902,0,,,"UNSTABLE — labels withheld, numeric vector only (spec §22)","player-tendency-2026.1"
