"gsis_id","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","concept","frequency","plays_with_concept","charted_plays","evidence_class","availability","source","family","window"
"00-0019596",98,0.673469387755102,0.29429871936962,0.561224489795918,7.54081632653061,4.66666666666667,0.183673469387755,0,0,0.0102040816326531,0.0408163265306122,2.73170408163265,13,"play_action",0.13031914893617,98,752,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0022942",14,0.428571428571429,-0.314316612023893,0.357142857142857,9,4.66666666666667,0.0714285714285714,0.214285714285714,0,0,0,2.53636363636364,3,"play_action",0.144329896907216,14,97,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0023459",408,0.607843137254902,0.0065661877532516,0.458333333333333,6.31619537275064,6.45967741935484,0.115196078431373,0.0465686274509804,0,0.0122549019607843,0.053921568627451,2.96412051282051,27,"play_action",0.236933797909408,408,1722,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0026143",78,0.474358974358974,-0.299322243091656,0.358974358974359,6.77777777777778,6.72972972972973,0.166666666666667,0.0769230769230769,0,0.0128205128205128,0.0256410256410256,2.983625,10,"play_action",0.156626506024096,78,498,"MODERATE","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0026158",233,0.570815450643777,-0.0469950999163518,0.433476394849785,10.5203619909502,5.40601503759398,0.201716738197425,0.0515021459227468,0,0.0343347639484978,0.0515021459227468,2.9809497716895,18,"play_action",0.21009918845807,233,1109,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0026197",0,,,,,,,,,,,,0,"play_action",0,0,2,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0026300",19,0.473684210526316,0.0129682290808934,0.368421052631579,4.83333333333333,10.1111111111111,0.210526315789474,0.0526315789473684,0,0.0526315789473684,0.0526315789473684,3.31111111111111,3,"play_action",0.316666666666667,19,60,"WEAK","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0026498",539,0.679035250463822,0.312146683528803,0.558441558441559,7.83236994219653,6.59562841530055,0.222634508348794,0.0371057513914656,0,0.00371057513914657,0.059369202226345,3.01885521235521,28,"play_action",0.264086232239098,539,2041,"STRONG","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0026544",1,1,-0.0987163597019389,0,-3,7,0,0,0,0,0,1.568,1,"play_action",0.0769230769230769,1,13,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
"00-0026625",11,0.636363636363636,-0.291846539428331,0.363636363636364,6.9,3.42857142857143,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,2.8506,3,"play_action",0.22,11,50,"INSUFFICIENT","DESCRIPTIVE_ONLY","ftn","qb_concepts","career"
