"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","coverage_rate_mz","evidence_class","availability","source","family","window"
"00-0019596","2_MAN",96,0.59375,0.20462682066608,0.479166666666667,9.38541666666667,5.59649122807018,0.177083333333333,0,0,0.03125,0.0208333333333333,2.71327083333333,19,0.964744547355841,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","career"
"00-0019596","COVER_0",139,0.503597122302158,-0.0159985173282968,0.431654676258993,5.05035971223022,2.4,0.0359712230215827,0,0,0.0215827338129496,0.280575539568345,2.34205755395683,24,0.964744547355841,"MODERATE","PRIOR_ONLY","participation","qb_coverage_family","career"
"00-0019596","COVER_1",946,0.586680761099366,0.252937909436948,0.47568710359408,9.19344608879492,5.08648648648649,0.159619450317125,0,0,0.0126849894291755,0.0676532769556026,2.57667653276956,31,0.964744547355841,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","career"
"00-0019596","COVER_2",450,0.753333333333333,0.292557323660644,0.551111111111111,6.53555555555555,5.1858407079646,0.151111111111111,0,0,0.0111111111111111,0.02,2.61497333333333,30,0.964744547355841,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","career"
"00-0019596","COVER_3",845,0.706508875739645,0.198952562589957,0.528994082840237,7.63431952662722,5.1641541038526,0.143195266272189,0,0,0.0165680473372782,0.0260355029585799,2.50741775147929,31,0.964744547355841,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","career"
"00-0019596","COVER_4",488,0.665983606557377,0.0964147739014845,0.483606557377049,7.34631147540984,4.70461538461538,0.104508196721311,0,0,0.0163934426229509,0.0430327868852459,2.59209221311475,29,0.964744547355841,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","career"
"00-0019596","COVER_6",256,0.671875,0.0090472880245577,0.47265625,7.796875,4.93023255813953,0.12890625,0,0,0.0234375,0.015625,2.64133203125,29,0.964744547355841,"STRONG","PRIOR_ONLY","participation","qb_coverage_family","career"
"00-0019596","OTHER",9,0.666666666666667,0.410681958929577,0.222222222222222,16.5555555555556,11.3333333333333,0.444444444444444,0,0,0.111111111111111,0,3.03288888888889,8,0.964744547355841,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","career"
"00-0020531","2_MAN",18,0.555555555555556,0.208404921215131,0.444444444444444,9.16666666666667,5.3,0.222222222222222,0,0,0,0,2.74566666666667,10,0.96671826625387,"INSUFFICIENT","PRIOR_ONLY","participation","qb_coverage_family","career"
"00-0020531","COVER_0",46,0.782608695652174,0.756831810662439,0.695652173913043,4.17391304347826,2.05555555555556,0.0434782608695652,0,0,0,0.521739130434783,2.31989130434783,18,0.96671826625387,"WEAK","PRIOR_ONLY","participation","qb_coverage_family","career"
