"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","formation_share","evidence_class","availability","source","family","window"
"00-0019596","EMPTY",645,0.635658914728682,0.127695047908868,0.496124031007752,7.09178743961352,4.09756097560976,0.0914728682170543,0.0372093023255814,0,0.013953488372093,0.0403100775193799,2.40857326892109,32,0.146757679180887,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0019596","I_FORM",244,0.635245901639344,0.22743499837678,0.55327868852459,8.79166666666666,5.07741935483871,0.221311475409836,0.0163934426229508,0,0.0245901639344262,0.0450819672131148,2.7713875,32,0.0555176336746303,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0019596","JUMBO",10,0.6,-0.0886707566620316,0.4,1.4,0,0,0,0,0,0.4,2.4181,8,0.00227531285551763,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0019596","PISTOL",35,0.685714285714286,-0.0537869120028688,0.314285714285714,4.03030303030303,5.16666666666667,0.0857142857142857,0.0571428571428571,0,0,0,2.23881818181818,16,0.00796359499431172,"WEAK","PRIOR_ONLY","participation","qb_formation","career"
"00-0019596","SHOTGUN",2687,0.634536657982881,0.145740193866161,0.474879047264607,8.03257076386197,5.05102639296187,0.127279493859323,0.0401935243766285,0,0.0141421659843692,0.0513583922590244,2.5767778208608,32,0.611376564277588,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0019596","SINGLEBACK",729,0.636488340192044,0.27124308567131,0.518518518518518,8.76330532212885,6.26939655172414,0.219478737997257,0.0205761316872429,0,0.0123456790123456,0.0507544581618656,2.71877591036415,32,0.165870307167235,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0019596","WILDCAT",45,0.622222222222222,0.174553389314355,0.466666666666667,11.175,4.42857142857143,0.222222222222222,0.111111111111111,0,0,0.111111111111111,2.888625,3,0.0102389078498294,"WEAK","PRIOR_ONLY","participation","qb_formation","career"
"00-0020531","EMPTY",418,0.691387559808612,0.243389118663031,0.543062200956938,8.15422885572139,5.11764705882353,0.162679425837321,0.0358851674641148,0,0.0263157894736842,0.0478468899521531,2.39843672456576,30,0.166004765687053,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0020531","I_FORM",172,0.808139534883721,0.4764859753432,0.656976744186047,5.81065088757397,6.83453237410072,0.22093023255814,0.0174418604651163,0,0,0.063953488372093,2.83833136094675,28,0.068308181096108,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0020531","JUMBO",13,0.615384615384615,-0.173346266378828,0.538461538461538,2.38461538461538,2.375,0.153846153846154,0,0,0.0769230769230769,0.384615384615385,2.81076923076923,7,0.00516282764098491,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0020531","PISTOL",34,0.735294117647059,-0.0252450021877879,0.382352941176471,1.41176470588235,4.64,0.117647058823529,0,0,0,0.0294117647058823,2.21305882352941,17,0.0135027799841144,"WEAK","PRIOR_ONLY","participation","qb_formation","career"
"00-0020531","SHOTGUN",1450,0.696551724137931,0.193297802493601,0.5,6.52541159627774,5.19028741328048,0.142068965517241,0.0358620689655173,0,0.0158620689655172,0.0558620689655173,2.49475321888412,30,0.575853852263701,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0020531","SINGLEBACK",430,0.683720930232558,0.305180538351433,0.548837209302326,7.12410501193317,5.97619047619047,0.174418604651163,0.0255813953488372,0,0.00465116279069768,0.0581395348837209,2.82137708830549,30,0.17077045274027,"STRONG","PRIOR_ONLY","participation","qb_formation","career"
"00-0020531","WILDCAT",1,0,-1.24730850476772,0,,,0,1,0,0,0,,1,0.00039714058776807,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0020679","EMPTY",1,0,-0.599574913969263,0,14,,0,0,0,0,0,1.968,1,0.0277777777777778,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0020679","I_FORM",5,0.8,0.834814725862816,0.8,11.2,6.5,0.4,0,0,0,0,2.4908,1,0.138888888888889,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
"00-0020679","SHOTGUN",27,0.481481481481482,0.0239172456260104,0.407407407407407,10.3076923076923,2.07692307692308,0.148148148148148,0.0370370370370371,0,0,0,2.40876923076923,3,0.75,"WEAK","PRIOR_ONLY","participation","qb_formation","career"
"00-0020679","SINGLEBACK",3,0.666666666666667,0.608538665110245,0.666666666666667,3.33333333333333,6.5,0,0,0,0,0,2.90266666666667,1,0.0833333333333333,"INSUFFICIENT","PRIOR_ONLY","participation","qb_formation","career"
