"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","coverage_rate_pressure","evidence_class","availability","source","family","window"
"00-0019596","CLEAN",3211,0.717844908128309,0.300390160706109,0.543755839302398,7.23699781999378,5.16095444685467,0.154780442229835,0,0,0.0112114606041732,0.0498287137963253,2.41668265337901,32,0.962122930369698,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0019596","PRESSURED",1031,0.478176527643065,0.00533897367306762,0.387002909796315,10.5276430649854,4.7789046653144,0.127061105722599,0,0,0.0252182347235694,0.0591658583899127,3.11086614936954,32,0.962122930369698,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0020531","CLEAN",1944,0.757716049382716,0.311936644166286,0.565843621399177,6.5609881626351,5.39741847826087,0.162551440329218,0,0,0.0128600823045268,0.065329218106996,2.4141049382716,30,0.964539007092199,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0020531","PRESSURED",504,0.603174603174603,0.119392900110735,0.436507936507936,7.43737574552684,5.375,0.154761904761905,0,0,0.0238095238095238,0.0317460317460318,3.10637896825397,30,0.964539007092199,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0020679","CLEAN",23,0.608695652173913,0.487332196402368,0.565217391304348,10.304347826087,4,0.173913043478261,0,0,0,0,2.45213043478261,2,0.972222222222222,"INSUFFICIENT","PRIOR_ONLY","participation","qb_pressure","career"
"00-0020679","PRESSURED",12,0.416666666666667,-0.392156901348835,0.333333333333333,9.25,2,0.166666666666667,0,0,0,0,2.44658333333333,2,0.972222222222222,"INSUFFICIENT","PRIOR_ONLY","participation","qb_pressure","career"
"00-0021206","CLEAN",480,0.6875,0.187230442906386,0.49375,7.21503131524008,4.74772036474164,0.1375,0,0,0.01875,0.0375,2.44717708333333,16,0.911444141689373,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0021206","PRESSURED",189,0.470899470899471,-0.0688163446878263,0.35978835978836,10.8835978835979,5.15730337078652,0.153439153439153,0,0,0.0529100529100529,0.037037037037037,3.03392592592593,16,0.911444141689373,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0021429","CLEAN",582,0.666666666666667,0.213601121278887,0.534364261168385,8.74226804123711,4.68041237113402,0.149484536082474,0,0,0.0189003436426117,0.0498281786941581,2.35529209621993,17,0.932900432900433,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0021429","PRESSURED",280,0.5,-0.0615230183349305,0.403571428571429,10.8785714285714,4.25714285714286,0.15,0,0,0.0357142857142857,0.0214285714285715,2.90240714285714,17,0.932900432900433,"STRONG","PRIOR_ONLY","participation","qb_pressure","career"
"00-0021678","CLEAN",2,1,1.6720580959809,1,9,0,0,0,0,0,0.5,2.9615,1,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_pressure","career"
"00-0021678","PRESSURED",2,0.5,0.180943972081877,0.5,21,10,0,0,0,0,0,2.6945,1,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_pressure","career"
