"gsis_id","bucket","plays","completion_pct","epa_per_play","success_rate","air_yards","yac","explosive_rate","sack_rate","scramble_rate","turnover_rate","td_rate","time_to_throw","n_opp","rusher_share","evidence_class","availability","source","family","note","window"
"00-0019596","FIVE",778,0.60025706940874,0.115219866566321,0.478149100257069,8.34543010752688,5.5289079229122,0.165809768637532,0.0437017994858612,0,0.0205655526992288,0.0488431876606684,2.45278225806452,32,0.176457246541166,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0019596","FOUR",2762,0.64735698769008,0.155710664065641,0.495655322230268,7.96354753851934,4.92785234899329,0.137943519188993,0.0365677045619121,0,0.0133960897900073,0.0401882693700216,2.64670950770387,32,0.626445906101157,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0019596","LT4",601,0.675540765391015,0.237660076136623,0.477537437603993,7.77358490566037,4.9679802955665,0.131447587354409,0.0299500831946756,0,0.00998336106489185,0.0682196339434277,2.57732590051458,32,0.13631208890905,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0019596","SIXPLUS",268,0.51865671641791,0.0525593254475474,0.440298507462687,8.49612403100775,6.11510791366907,0.149253731343284,0.0373134328358209,0,0.0111940298507463,0.115671641791045,2.37548062015504,31,0.0607847584486278,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0020531","FIVE",499,0.659318637274549,0.139398276653557,0.507014028056112,7.02731092436975,5.40121580547113,0.154308617234469,0.0460921843687375,0,0.0180360721442886,0.0480961923847695,2.46164915966387,30,0.196689002759164,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0020531","FOUR",1568,0.707908163265306,0.174873599373853,0.519132653061224,6.64492753623188,5.32612612612613,0.151785714285714,0.03125,0,0.0153061224489796,0.045280612244898,2.59792100065833,30,0.618052818289318,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0020531","LT4",314,0.75796178343949,0.28749908504767,0.522292993630573,6.01302931596091,5.43459915611814,0.143312101910828,0.0191082802547771,0,0.00955414012738853,0.0700636942675159,2.48913311688312,30,0.123768230193142,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0020531","SIXPLUS",156,0.641025641025641,0.373447514392793,0.576923076923077,8.35172413793103,6.02,0.217948717948718,0.0705128205128205,0,0.00641025641025642,0.166666666666667,2.57927586206897,24,0.061489948758376,"MODERATE","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0020679","FIVE",16,0.375,-0.136031485610461,0.3125,7.2,3.66666666666667,0.0625,0.0625,0,0,0,2.34853333333333,3,0.444444444444444,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0020679","FOUR",13,0.615384615384615,0.248643260514948,0.538461538461538,8.61538461538461,2.875,0.153846153846154,0,0,0,0,2.47007692307692,1,0.361111111111111,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0020679","LT4",2,1,1.21350815100595,1,12.5,1.5,0.5,0,0,0,0,2.8565,1,0.0555555555555556,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0020679","SIXPLUS",5,0.6,0.512601084727794,0.6,20.6,6,0.4,0,0,0,0,2.5412,1,0.138888888888889,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0021206","FIVE",163,0.52760736196319,-0.238762593708716,0.380368098159509,8.21527777777778,4.40697674418605,0.153374233128834,0.116564417177914,0,0.0245398773006135,0.0306748466257668,2.4563125,16,0.222070844686649,"MODERATE","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0021206","FOUR",439,0.610478359908884,0.0222463855962424,0.453302961275626,8.15196078431372,4.85393258426966,0.132118451025057,0.0683371298405467,0,0.0273348519362187,0.0318906605922551,2.6501858190709,16,0.598092643051771,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0021206","LT4",70,0.628571428571429,-0.169373520995751,0.371428571428571,6.87692307692308,3.75,0.0714285714285714,0.0714285714285714,0,0.0285714285714286,0.0285714285714286,2.66652307692308,16,0.0953678474114441,"MODERATE","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0021206","SIXPLUS",62,0.354838709677419,-0.171964328326178,0.306451612903226,10.6923076923077,8.95454545454546,0.112903225806452,0.161290322580645,0,0.0161290322580645,0.0645161290322581,2.67325,16,0.0844686648501362,"WEAK","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0021429","FIVE",186,0.543010752688172,-0.00414960270300977,0.440860215053763,9.25,4.76237623762376,0.145161290322581,0.0752688172043011,0,0.021505376344086,0.0268817204301075,2.41085465116279,17,0.201516793066089,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0021429","FOUR",529,0.568998109640832,-0.0288398801861842,0.459357277882798,9.70528455284553,4.61794019933555,0.136105860113422,0.0699432892249527,0,0.0226843100189036,0.0302457466918715,2.60345528455285,17,0.573131094257855,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0021429","LT4",133,0.639097744360902,0.209294840213193,0.518796992481203,8.8062015503876,4.4,0.150375939849624,0.0300751879699248,0,0.0300751879699248,0.075187969924812,2.51602325581395,16,0.14409534127844,"MODERATE","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0021429","SIXPLUS",75,0.533333333333333,-0.100838349543505,0.4,9.0735294117647,4.175,0.133333333333333,0.0933333333333333,0,0.0133333333333334,0.0533333333333333,2.35870588235294,15,0.0812567713976165,"MODERATE","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0021678","FOUR",4,0.75,0.926501034031389,0.75,15,3.33333333333333,0,0,0,0,0.25,2.828,1,1,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022787","FIVE",18,0.722222222222222,0.606287627351107,0.611111111111111,6.55555555555556,6.76923076923077,0.111111111111111,0,0,0,0.0555555555555555,2.26205555555556,3,0.233766233766234,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022787","FOUR",52,0.788461538461538,0.288468671168905,0.596153846153846,7.8235294117647,4.04878048780488,0.230769230769231,0.0192307692307692,0,0,0.0384615384615385,2.29749019607843,5,0.675324675324675,"WEAK","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022787","LT4",3,0.333333333333333,-1.66668000693123,0.333333333333333,4,12,0,0.333333333333333,0,0.333333333333333,0,2.4355,1,0.038961038961039,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022787","SIXPLUS",4,0.25,-0.579804863591562,0.25,3.25,13,0,0,0,0,0,2.646,3,0.051948051948052,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022803","FIVE",336,0.520833333333333,-0.134226822662494,0.392857142857143,7.84565916398714,5.72571428571428,0.136904761904762,0.074404761904762,0,0.0208333333333333,0.0416666666666667,2.43830546623794,28,0.168421052631579,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022803","FOUR",1386,0.622655122655123,0.00358486476346061,0.442279942279942,7.42252456538171,5.20509849362689,0.108225108225108,0.0454545454545454,0,0.0202020202020202,0.0310245310245309,2.61389342403628,28,0.694736842105263,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022803","LT4",164,0.640243902439024,-0.0749827965430131,0.451219512195122,7.26114649681529,4.33333333333333,0.0792682926829268,0.0365853658536585,0,0.0365853658536585,0.0426829268292683,2.57904430379747,27,0.0822055137844612,"MODERATE","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022803","SIXPLUS",109,0.522935779816514,-0.145106437279199,0.431192660550459,9.1010101010101,4.56140350877193,0.165137614678899,0.0917431192660551,0,0.036697247706422,0.073394495412844,2.31531313131313,26,0.0546365914786967,"MODERATE","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022924","FIVE",566,0.593639575971732,0.127493471000075,0.475265017667845,8.7818853974122,6.17857142857143,0.153710247349823,0.0441696113074205,0,0.019434628975265,0.0459363957597173,2.40195378927911,28,0.181235991034262,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022924","FOUR",1925,0.631688311688312,0.070901129589255,0.459740259740259,8.03725701943843,5.12171052631579,0.122077922077922,0.0379220779220779,0,0.0218181818181819,0.0379220779220778,2.57127375809935,28,0.616394492475184,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022924","LT4",443,0.665914221218962,-0.00618194381670914,0.443438914027149,5.59164733178654,5.34915254237288,0.0835214446952596,0.0270880361173815,0,0.0225733634311512,0.056433408577878,2.28532714617169,27,0.141850784502081,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022924","SIXPLUS",189,0.619047619047619,0.370343035701,0.534391534391534,8.10326086956522,6.5042735042735,0.169312169312169,0.0264550264550264,0,0.00529100529100526,0.116402116402116,2.22469565217391,27,0.0605187319884726,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022942","FIVE",606,0.608910891089109,0.250061183052651,0.501650165016502,8.04844290657439,7.17886178861789,0.202970297029703,0.0462046204620462,0,0.0148514851485148,0.0346534653465346,2.52926989619377,31,0.200529450694904,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022942","FOUR",1901,0.618621778011573,0.0964366931438208,0.476065228826933,8.3229916897507,5.47023809523809,0.147290899526565,0.0504997369805366,0,0.0273540241977907,0.0468174644923724,2.6129783933518,31,0.629053606882859,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022942","LT4",318,0.679245283018868,0.112050289278917,0.487421383647799,6.97402597402597,4.74074074074074,0.125786163522013,0.0314465408805031,0,0.0283018867924528,0.0471698113207546,2.7509512987013,29,0.105228325612177,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0022942","SIXPLUS",197,0.568527918781726,0.192955344083846,0.512690355329949,7.36898395721925,7.39285714285714,0.187817258883249,0.050761421319797,0,0.0355329949238579,0.0964467005076143,2.37307486631016,28,0.0651886168100596,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023436","FIVE",293,0.590443686006826,0.0892038906880193,0.450511945392491,7.06593406593406,6.06936416184971,0.15358361774744,0.0682593856655289,0,0.0238907849829352,0.037542662116041,2.51957875457875,25,0.174716756112105,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023436","FOUR",1042,0.625719769673704,0.0483958909912184,0.459692898272553,7.26310380267215,5.25766871165644,0.117082533589251,0.0662188099808062,0,0.0134357005758157,0.0287907869481766,2.6519681397739,25,0.621347644603459,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023436","LT4",270,0.688888888888889,0.0384577407436296,0.459259259259259,5.83650190114069,5.98387096774194,0.0888888888888889,0.0259259259259259,0,0.0185185185185185,0.0481481481481482,2.50310646387833,25,0.161001788908766,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023436","SIXPLUS",72,0.430555555555556,-0.066925114856509,0.375,9.63333333333333,5.25806451612903,0.152777777777778,0.152777777777778,0,0,0.0416666666666667,2.56624590163934,20,0.0429338103756708,"MODERATE","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023459","FIVE",968,0.559917355371901,0.0423623439682361,0.433884297520661,8.16666666666666,5.7380073800738,0.133264462809917,0.0764462809917356,0,0.00516528925619836,0.0382231404958678,2.69460514541387,32,0.194651116026543,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023459","FOUR",3107,0.622465400708079,0.119620879013557,0.463147730930158,8.12704918032785,5.74819027921406,0.133569359510782,0.057611844222723,0,0.0125523012552302,0.0485999356292242,2.80611812905428,32,0.624773778403378,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023459","LT4",569,0.738137082601054,0.245534173543204,0.541300527240773,5.42625899280576,6.06190476190476,0.0949033391915641,0.022847100175747,0,0.0105448154657293,0.0738137082601055,2.46217477477477,32,0.114417856424693,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023459","SIXPLUS",329,0.507598784194529,-0.0607204643055604,0.416413373860182,8.83720930232558,5.06586826347305,0.115501519756839,0.0851063829787234,0,0.0243161094224924,0.121580547112462,2.55253488372093,30,0.0661572491453851,"STRONG","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023645","FIVE",20,0.55,-0.586844917490089,0.55,8.31578947368421,4.09090909090909,0.15,0.05,0,0.1,0,2.71842105263158,3,0.147058823529412,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023645","FOUR",102,0.607843137254902,-0.395197801365089,0.441176470588235,8.95959595959596,3.33870967741936,0.147058823529412,0.0294117647058824,0,0.0686274509803922,0.00980392156862746,2.58493939393939,7,0.75,"MODERATE","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023645","LT4",3,0.666666666666667,2.07292922062334,0.666666666666667,21.6666666666667,12.5,0.333333333333333,0,0,0,0.333333333333333,3.10333333333333,2,0.0220588235294118,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023645","SIXPLUS",11,0.454545454545455,-0.411928374142243,0.272727272727273,5.8,12.8,0.0909090909090909,0.0909090909090909,0,0,0,2.3511,3,0.0808823529411765,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023662","FIVE",31,0.451612903225806,-0.874484423628723,0.290322580645161,6.16,2.07142857142857,0,0.193548387096774,0,0.0645161290322581,0.032258064516129,2.44804,4,0.254098360655738,"WEAK","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023662","FOUR",71,0.605633802816901,-0.28534952793652,0.394366197183099,7.8030303030303,2.6046511627907,0.0422535211267606,0.0704225352112676,0,0.0281690140845071,0.0140845070422535,2.61616666666667,5,0.581967213114754,"MODERATE","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023662","LT4",5,0.6,0.453907151194289,0.6,5.8,0.666666666666667,0,0,0,0,0.2,2.5448,3,0.040983606557377,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
"00-0023662","SIXPLUS",15,0.133333333333333,-1.28964989654487,0.133333333333333,11.3333333333333,0.5,0.0666666666666667,0.2,0,0.0666666666666667,0,2.69575,5,0.122950819672131,"INSUFFICIENT","PRIOR_ONLY","participation","qb_rusher_count","5+ = blitz PROXY (rusher count, not charted blitzer identity)","career"
