"gsis_id","depth_bin","field_third","attempts","completions","completion_pct","air_yards","yards_per_attempt","epa_per_attempt_raw","success_rate","td_rate","int_rate","explosive_rate","first_down_rate","yac","attempts_total","attempts_charted","attempts_uncharted","epa_overall","attempt_share","epa_per_attempt","evidence_class","output_class","window"
"00-0000865","BEHIND_LOS","LEFT",5,5,1,-3.4,1.6,-0.431802769796923,0.2,0,0,0,0,5,70,70,0,-0.0666595992361279,0.0714285714285714,-0.0947475354331121,"INSUFFICIENT","OBSERVED","career"
"00-0000865","BEHIND_LOS","MIDDLE",1,1,1,-2,10,0.697104883845896,1,0,0,0,1,12,70,70,0,-0.0666595992361279,0.0142857142857143,-0.054138870005275,"INSUFFICIENT","OBSERVED","career"
"00-0000865","BEHIND_LOS","RIGHT",7,7,1,-2.42857142857143,5,-0.294521071727753,0.285714285714286,0,0,0,0.285714285714286,7.42857142857143,70,70,0,-0.0666595992361279,0.1,-0.0904660217352529,"INSUFFICIENT","OBSERVED","career"
"00-0000865","SHORT","LEFT",16,11,0.6875,4.0625,5.9375,0.0159385589649901,0.5625,0,0,0,0.1875,4.81818181818182,70,70,0,-0.0666595992361279,0.228571428571429,-0.0492705132990504,"WEAK","OBSERVED","career"
"00-0000865","SHORT","MIDDLE",9,8,0.888888888888889,4.77777777777778,11.5555555555556,0.428873831276885,0.888888888888889,0,0.111111111111111,0.222222222222222,0.666666666666667,8.125,70,70,0,-0.0666595992361279,0.128571428571429,-0.00202480395182177,"INSUFFICIENT","OBSERVED","career"
"00-0000865","SHORT","RIGHT",8,5,0.625,5.125,4.25,0.301166961266182,0.625,0.125,0,0,0.375,1.6,70,70,0,-0.0666595992361279,0.114285714285714,-0.0233858862358561,"INSUFFICIENT","OBSERVED","career"
"00-0000865","INTERMEDIATE","LEFT",4,1,0.25,13,3.75,-0.177148601826048,0.25,0,0,0,0.25,1,70,70,0,-0.0666595992361279,0.0571428571428571,-0.0735651618979978,"INSUFFICIENT","OBSERVED","career"
"00-0000865","INTERMEDIATE","MIDDLE",4,2,0.5,15,9.5,-0.533130086245365,0.25,0,0,0.5,0.25,2,70,70,0,-0.0666595992361279,0.0571428571428571,-0.0958140046742051,"INSUFFICIENT","OBSERVED","career"
"00-0000865","INTERMEDIATE","RIGHT",4,2,0.5,13.75,8,0.0852458099543583,0.5,0,0.25,0.25,0.5,3.5,70,70,0,-0.0666595992361279,0.0571428571428571,-0.0571655111617225,"INSUFFICIENT","OBSERVED","career"
"00-0000865","DEEP","LEFT",2,1,0.5,29,17,1.03452739259228,0.5,0,0,0.5,0.5,6,70,70,0,-0.0666595992361279,0.0285714285714286,-0.031137438209405,"INSUFFICIENT","OBSERVED","career"
"00-0000865","DEEP","MIDDLE",5,1,0.2,30.2,8.6,0.172326172426291,0.2,0,0,0.2,0.2,23,70,70,0,-0.0666595992361279,0.0714285714285714,-0.0482760783390187,"INSUFFICIENT","OBSERVED","career"
"00-0000865","DEEP","RIGHT",5,1,0.2,34.8,5.4,-1.61947734584101,0.2,0,0.4,0.2,0.2,1,70,70,0,-0.0666595992361279,0.0714285714285714,-0.186107118205734,"INSUFFICIENT","OBSERVED","career"
"00-0007091","BEHIND_LOS","LEFT",36,29,0.805555555555556,-2.83333333333333,4.30555555555556,-0.0491942002302587,0.472222222222222,0,0,0.0555555555555556,0.25,8.31034482758621,533,533,0,0.0704902633478343,0.0675422138836773,0.0256085895060494,"WEAK","OBSERVED","career"
"00-0007091","BEHIND_LOS","MIDDLE",9,6,0.666666666666667,-3.44444444444444,5.44444444444444,0.179869929713378,0.555555555555556,0.111111111111111,0,0,0.333333333333333,11.1666666666667,533,533,0,0.0704902633478343,0.0168855534709193,0.0847571763520357,"INSUFFICIENT","OBSERVED","career"
"00-0007091","BEHIND_LOS","RIGHT",32,25,0.78125,-2.25,7.78125,0.300295896745411,0.4375,0.03125,0,0.125,0.3125,12.2,533,533,0,0.0704902633478343,0.0600375234521576,0.150422657573078,"WEAK","OBSERVED","career"
"00-0007091","SHORT","LEFT",96,66,0.6875,4.20833333333333,4.98958333333333,-0.0256229721613821,0.489583333333333,0.0416666666666667,0.0104166666666667,0.0520833333333333,0.270833333333333,3.21212121212121,533,533,0,0.0704902633478343,0.180112570356473,0.0113436568806242,"MODERATE","OBSERVED","career"
"00-0007091","SHORT","MIDDLE",71,51,0.71830985915493,4.29577464788732,5.50704225352113,-0.0929996853767786,0.535211267605634,0.0563380281690141,0.0422535211267606,0.028169014084507,0.323943661971831,3.17647058823529,533,533,0,0.0704902633478343,0.133208255159475,-0.0181187928311544,"MODERATE","OBSERVED","career"
"00-0007091","SHORT","RIGHT",123,79,0.642276422764227,4.2520325203252,5.45528455284553,0.035855621525467,0.48780487804878,0.016260162601626,0.00813008130081301,0.048780487804878,0.308943089430894,4.62025316455696,533,533,0,0.0704902633478343,0.230769230769231,0.0472112417950956,"STRONG","OBSERVED","career"
"00-0007091","INTERMEDIATE","LEFT",42,23,0.547619047619048,14.6428571428571,10.3809523809524,0.354537026172342,0.547619047619048,0,0.0476190476190476,0.404761904761905,0.547619047619048,3.73913043478261,533,533,0,0.0704902633478343,0.0787992495309568,0.187450695099102,"MODERATE","OBSERVED","career"
