"gsis_id","bucket","carries","yards_per_carry","epa_per_rush","success_rate","explosive_rate","stuff_rate","td_rate","n_opp","carries_eligible","box_coverage_rate","mean_box_faced","box_share","evidence_class","availability","source","family","window"
"00-0019596","HEAVY",24,1.25,0.396967407300122,0.75,0,0.208333333333333,0.416666666666667,16,56,1,7.48214285714286,0.428571428571429,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0019596","LIGHT",9,1.11111111111111,-2.43805074074124,0.333333333333333,0,0.555555555555556,0,8,56,1,7.48214285714286,0.160714285714286,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0019596","NEUTRAL",23,1.69565217391304,0.203182814318849,0.739130434782609,0,0.173913043478261,0,16,56,1,7.48214285714286,0.410714285714286,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0020531","HEAVY",22,1.36363636363636,1.45191636256905,0.954545454545455,0,0,0.409090909090909,14,34,1,8.17647058823529,0.647058823529412,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0020531","LIGHT",7,1.42857142857143,-0.579873757453897,0.285714285714286,0,0.428571428571429,0,4,34,1,8.17647058823529,0.205882352941176,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0020531","NEUTRAL",5,2.4,0.234918156208105,0.6,0,0,0,5,34,1,8.17647058823529,0.147058823529412,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0023436","HEAVY",13,2.15384615384615,0.493470941249677,0.769230769230769,0,0.307692307692308,0.0769230769230769,9,47,1,6.91489361702128,0.276595744680851,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0023436","LIGHT",20,4.75,-0.0527966355090029,0.55,0.1,0.35,0.15,12,47,1,6.91489361702128,0.425531914893617,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0023436","NEUTRAL",14,1.28571428571429,-0.229437810094428,0.285714285714286,0.0714285714285714,0.428571428571429,0.0714285714285714,9,47,1,6.91489361702128,0.297872340425532,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0023459","HEAVY",6,0.5,-0.878710423750072,0.5,0,0.5,0,6,39,1,6.7948717948718,0.153846153846154,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0023459","LIGHT",15,1.86666666666667,-0.765023954286847,0.466666666666667,0.0666666666666667,0.533333333333333,0.0666666666666667,13,39,1,6.7948717948718,0.384615384615385,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0023459","NEUTRAL",18,0.777777777777778,-1.00303284732136,0.388888888888889,0,0.611111111111111,0.0555555555555555,12,39,1,6.7948717948718,0.461538461538462,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0023500","HEAVY",228,2.93859649122807,-0.276478308941319,0.263157894736842,0.043859649122807,0.219298245614035,0.0307017543859649,27,1033,1,6.93320425943853,0.220716360116166,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0023500","LIGHT",329,4.57750759878419,-0.0167809700314331,0.422492401215805,0.0516717325227964,0.106382978723404,0.00303951367781156,27,1033,1,6.93320425943853,0.318489835430784,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0023500","NEUTRAL",476,3.74789915966387,-0.121624070813259,0.363445378151261,0.0441176470588235,0.180672268907563,0.00630252100840337,28,1033,1,6.93320425943853,0.460793804453049,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0023564","HEAVY",14,4.14285714285714,-0.146955510656482,0.428571428571429,0.142857142857143,0.214285714285714,0,7,156,1,6.40384615384615,0.0897435897435897,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0023564","LIGHT",90,4.61111111111111,-0.0613665939323814,0.411111111111111,0.0666666666666667,0.2,0.0111111111111111,15,156,1,6.40384615384615,0.576923076923077,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0023564","NEUTRAL",52,4.11538461538462,-0.0156859959002199,0.461538461538462,0.115384615384615,0.211538461538462,0.0384615384615385,13,156,1,6.40384615384615,0.333333333333333,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0023682","HEAVY",8,-1,-0.903890743351425,0.25,0,0.625,0.125,6,39,1,6.35897435897436,0.205128205128205,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0023682","LIGHT",22,3.59090909090909,0.200221421031135,0.636363636363636,0.0909090909090909,0.227272727272727,0.136363636363636,12,39,1,6.35897435897436,0.564102564102564,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0023682","NEUTRAL",9,1.77777777777778,-0.67983419433262,0.333333333333333,0.111111111111111,0.555555555555556,0,8,39,1,6.35897435897436,0.230769230769231,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0024242","HEAVY",24,2.41666666666667,-0.0860169381012383,0.375,0,0.208333333333333,0.125,5,98,1,6.8469387755102,0.244897959183673,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0024242","LIGHT",43,4.6046511627907,0.0425304200494835,0.418604651162791,0.0930232558139535,0.209302325581395,0.0232558139534884,6,98,1,6.8469387755102,0.438775510204082,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0024242","NEUTRAL",31,2.80645161290323,-0.206540421552716,0.32258064516129,0.0645161290322581,0.290322580645161,0,7,98,1,6.8469387755102,0.316326530612245,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0025394","HEAVY",239,3.72803347280335,-0.156178311544429,0.372384937238494,0.0878661087866109,0.230125523012552,0.0627615062761505,24,849,1,7.08244994110718,0.28150765606596,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0025394","LIGHT",230,3.59565217391304,-0.218870829967605,0.295652173913043,0.0652173913043478,0.230434782608696,0.00869565217391305,22,849,1,7.08244994110718,0.270906949352179,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0025394","NEUTRAL",380,4.01315789473684,-0.114056254831054,0.323684210526316,0.0657894736842105,0.202631578947368,0.0157894736842105,24,849,1,7.08244994110718,0.447585394581861,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0025396","HEAVY",3,3.66666666666667,-0.171075277612545,0.333333333333333,0.333333333333333,0.333333333333333,0,3,30,1,6.8,0.1,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0025396","LIGHT",9,6.44444444444444,0.216334610698848,0.666666666666667,0.222222222222222,0,0,6,30,1,6.8,0.3,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0025396","NEUTRAL",18,6.22222222222222,0.224870625362706,0.611111111111111,0.277777777777778,0.166666666666667,0,12,30,1,6.8,0.6,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0025399","HEAVY",95,3.07368421052632,-0.229097318299302,0.305263157894737,0.0315789473684211,0.294736842105263,0.0736842105263158,14,309,1,7.03559870550162,0.307443365695793,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0025399","LIGHT",98,4.57142857142857,-0.0349626855470943,0.387755102040816,0.0714285714285714,0.183673469387755,0.0204081632653061,16,309,1,7.03559870550162,0.317152103559871,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0025399","NEUTRAL",116,4.83620689655172,0.0180387141635634,0.46551724137931,0.112068965517241,0.129310344827586,0.0172413793103448,16,309,1,7.03559870550162,0.375404530744337,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0026019","LIGHT",25,5.88,0.0637242998671718,0.44,0.12,0.08,0,9,33,1,6.21212121212121,0.757575757575758,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0026019","NEUTRAL",8,3.125,-0.101925583480425,0.375,0,0,0,5,33,1,6.21212121212121,0.242424242424242,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0026069","HEAVY",32,2.90625,-0.319208397631883,0.25,0.0625,0.3125,0,11,101,1,7.07920792079208,0.316831683168317,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0026069","LIGHT",23,5.47826086956522,0.0073571418316009,0.391304347826087,0.0869565217391304,0.0869565217391304,0,11,101,1,7.07920792079208,0.227722772277228,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0026069","NEUTRAL",46,3.08695652173913,-0.219242607138332,0.239130434782609,0.0434782608695652,0.217391304347826,0.0217391304347826,18,101,1,7.07920792079208,0.455445544554455,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0026143","HEAVY",28,0.5,-0.634501526788159,0.535714285714286,0,0.464285714285714,0.142857142857143,16,59,1,7.35593220338983,0.474576271186441,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0026143","LIGHT",14,0.5,-1.08556711904382,0.214285714285714,0,0.642857142857143,0,10,59,1,7.35593220338983,0.23728813559322,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0026143","NEUTRAL",17,1.23529411764706,-0.252724685706686,0.470588235294118,0,0.352941176470588,0.0588235294117647,11,59,1,7.35593220338983,0.288135593220339,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0026144","HEAVY",12,1.5,-0.14962874664343,0.333333333333333,0,0.333333333333333,0,3,25,1,7.56,0.48,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0026144","LIGHT",3,9.66666666666667,0.409312182261298,0.666666666666667,0.333333333333333,0.333333333333333,0,3,25,1,7.56,0.12,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0026144","NEUTRAL",10,3.8,-0.199019565695198,0.4,0.1,0.3,0,3,25,1,7.56,0.4,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0026153","HEAVY",184,3.47826086956522,-0.079097029525169,0.358695652173913,0.0597826086956522,0.239130434782609,0.0815217391304348,21,422,1,7.4218009478673,0.436018957345972,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0026153","LIGHT",89,4.14606741573034,-0.109365086250394,0.325842696629213,0.0674157303370786,0.213483146067416,0,23,422,1,7.4218009478673,0.210900473933649,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0026153","NEUTRAL",149,3.43624161073825,-0.225103362577095,0.302013422818792,0.0402684563758389,0.201342281879195,0,24,422,1,7.4218009478673,0.353080568720379,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0026158","HEAVY",15,3.33333333333333,0.534060438472079,0.733333333333333,0.0666666666666667,0.266666666666667,0.0666666666666667,11,42,1,7.28571428571429,0.357142857142857,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0026158","LIGHT",14,2,-0.43545832077705,0.5,0.0714285714285714,0.357142857142857,0.142857142857143,13,42,1,7.28571428571429,0.333333333333333,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0026158","NEUTRAL",13,1.69230769230769,-0.3455281003649,0.615384615384615,0,0.307692307692308,0,10,42,1,7.28571428571429,0.30952380952381,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0026164","HEAVY",21,2.66666666666667,-0.138447837421804,0.285714285714286,0.0476190476190476,0.238095238095238,0.0476190476190476,6,70,1,7.05714285714286,0.3,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0026164","LIGHT",18,3.66666666666667,-0.134204576273785,0.388888888888889,0,0.111111111111111,0,7,70,1,7.05714285714286,0.257142857142857,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0026164","NEUTRAL",31,2.80645161290323,-0.241710337359578,0.290322580645161,0,0.290322580645161,0,7,70,1,7.05714285714286,0.442857142857143,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0026184","HEAVY",51,2.45098039215686,-0.254068298598035,0.254901960784314,0.0588235294117647,0.294117647058824,0.0980392156862745,16,321,1,6.65732087227414,0.158878504672897,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0026184","LIGHT",155,4.49032258064516,-0.0647307579003786,0.380645161290322,0.0709677419354839,0.116129032258065,0,18,321,1,6.65732087227414,0.482866043613707,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0026184","NEUTRAL",115,3.24347826086956,-0.129569134888816,0.31304347826087,0.0434782608695652,0.2,0.0347826086956522,19,321,1,6.65732087227414,0.358255451713396,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0026213","HEAVY",9,5,0.283885652755594,0.444444444444444,0.222222222222222,0.222222222222222,0.111111111111111,5,87,1,6.48275862068965,0.103448275862069,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0026213","LIGHT",48,4.70833333333333,-0.100168252510533,0.416666666666667,0.104166666666667,0.104166666666667,0.0208333333333333,10,87,1,6.48275862068965,0.551724137931034,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0026213","NEUTRAL",30,2.4,-0.464876904812021,0.2,0.0333333333333333,0.266666666666667,0,9,87,1,6.48275862068965,0.344827586206897,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0026289","HEAVY",37,2.24324324324324,-0.226743947329294,0.297297297297297,0,0.189189189189189,0.108108108108108,8,133,1,7.11278195488722,0.278195488721804,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0026289","LIGHT",33,6.57575757575758,0.269057560777362,0.515151515151515,0.151515151515152,0.0909090909090909,0,11,133,1,7.11278195488722,0.24812030075188,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0026289","NEUTRAL",63,3.93650793650794,-0.0402591493274529,0.380952380952381,0.0317460317460317,0.142857142857143,0,13,133,1,7.11278195488722,0.473684210526316,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0026373","HEAVY",7,1.14285714285714,-0.0574218660476618,0.428571428571429,0,0.285714285714286,0.142857142857143,4,87,1,6.57471264367816,0.0804597701149425,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0026373","LIGHT",41,5.53658536585366,-0.14521601787774,0.317073170731707,0.048780487804878,0.146341463414634,0,9,87,1,6.57471264367816,0.471264367816092,"MODERATE","PRIOR_ONLY","participation","rb_box","career"
"00-0026373","NEUTRAL",39,1.43589743589744,-0.559019295098738,0.128205128205128,0,0.307692307692308,0,9,87,1,6.57471264367816,0.448275862068966,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0026498","HEAVY",16,0.9375,-0.296517654507475,0.5,0,0.4375,0.0625,11,53,1,7,0.30188679245283,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0026498","LIGHT",19,1.36842105263158,-0.961581427602815,0.157894736842105,0,0.421052631578947,0,12,53,1,7,0.358490566037736,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0026498","NEUTRAL",18,1.61111111111111,-0.441432649007766,0.5,0.0555555555555556,0.388888888888889,0,13,53,1,7,0.339622641509434,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0027029","HEAVY",206,3.54368932038835,-0.119660466939078,0.344660194174757,0.087378640776699,0.325242718446602,0.0776699029126214,24,794,1,6.97858942065491,0.259445843828715,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027029","LIGHT",226,4.30973451327434,-0.138110893346734,0.36283185840708,0.0884955752212389,0.194690265486726,0.00442477876106194,27,794,1,6.97858942065491,0.28463476070529,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027029","NEUTRAL",362,4.73204419889503,-0.0357481970021022,0.383977900552486,0.110497237569061,0.240331491712707,0.0248618784530386,27,794,1,6.97858942065491,0.455919395465995,"STRONG","PRIOR_ONLY","participation","rb_box","career"
"00-0027150","HEAVY",8,7,0.557431362016359,1,0.125,0.125,0,6,31,1,7,0.258064516129032,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0027150","LIGHT",8,6.875,0.328939686689409,0.625,0.125,0.25,0,6,31,1,7,0.258064516129032,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
"00-0027150","NEUTRAL",15,6.8,0.38203416907927,0.666666666666667,0.2,0.133333333333333,0,9,31,1,7,0.483870967741935,"WEAK","PRIOR_ONLY","participation","rb_box","career"
"00-0027155","HEAVY",12,0.333333333333333,-0.315347507343783,0.0833333333333333,0,0.416666666666667,0.0833333333333333,5,180,1,6.28888888888889,0.0666666666666667,"INSUFFICIENT","PRIOR_ONLY","participation","rb_box","career"
