"gsis_id","run_gap","carries","yards_per_carry","epa_per_rush_raw","success_rate","explosive_rate","stuff_rate","epa_overall","epa_per_rush","evidence_class","output_class","window"
"00-0019596","GUARD",12,1,-0.000137552117973616,0.5,0,0.333333333333333,-0.0777944261823455,-0.0648516138382836,"INSUFFICIENT","OBSERVED","career"
"00-0019596","TACKLE",1,2,0.450583582278341,1,0,0,-0.0777944261823455,-0.0691324916174162,"INSUFFICIENT","OBSERVED","career"
"00-0020245","END",17,5.76470588235294,-0.0191227965851259,0.529411764705882,0.176470588235294,0.294117647058824,-0.78395139893414,-0.615093136077864,"WEAK","OBSERVED","career"
"00-0020245","GUARD",4,0.75,-1.74338706598792,0.25,0,0.5,-0.78395139893414,-0.843916128125001,"INSUFFICIENT","OBSERVED","career"
"00-0020245","TACKLE",7,4.71428571428571,0.538933396813393,0.714285714285714,0,0,-0.78395139893414,-0.645739554602308,"INSUFFICIENT","OBSERVED","career"
"00-0020531","END",4,-1.75,-0.829345085832631,0,0,0.5,0.631820060807324,0.540497239142327,"INSUFFICIENT","OBSERVED","career"
"00-0020531","GUARD",8,1,0.878692464367361,0.875,0,0.125,0.631820060807324,0.660863872990857,"INSUFFICIENT","OBSERVED","career"
"00-0020531","TACKLE",1,-2,-0.74213604000397,0,0,1,0.631820060807324,0.609296190302221,"INSUFFICIENT","OBSERVED","career"
"00-0021206","END",2,1,-0.484127025522009,0.5,0,0,-0.998033919680785,-0.981456277933727,"INSUFFICIENT","OBSERVED","career"
"00-0021206","GUARD",1,0,-3.08917872648453,0,0,1,-0.998033919680785,-1.0323149820874,"INSUFFICIENT","OBSERVED","career"
"00-0021206","TACKLE",1,0,-1.24604546511546,0,0,1,-0.998033919680785,-1.0020996827207,"INSUFFICIENT","OBSERVED","career"
"00-0021429","END",1,-3,-1.58656928822165,0,0,1,-0.398402911071342,-0.417881048401675,"INSUFFICIENT","OBSERVED","career"
"00-0021429","GUARD",1,3,-0.0673248399980366,0,0,0,-0.398402911071342,-0.392975401709485,"INSUFFICIENT","OBSERVED","career"
"00-0022178","END",26,4.53846153846154,-0.029582568220436,0.423076923076923,0.0769230769230769,0.269230769230769,-0.115680915566689,-0.0896511826480546,"WEAK","OBSERVED","career"
"00-0022178","GUARD",127,3.11811023622047,-0.091855407933636,0.377952755905512,0.0236220472440945,0.204724409448819,-0.115680915566689,-0.0994999558372895,"STRONG","OBSERVED","career"
"00-0022178","TACKLE",74,3.09459459459459,-0.290045825633225,0.310810810810811,0.0540540540540541,0.243243243243243,-0.115680915566689,-0.211971985304926,"MODERATE","OBSERVED","career"
"00-0022397","END",1,1,0.431915779132396,1,0,0,-0.0456254746440253,-0.0377969295001495,"INSUFFICIENT","OBSERVED","career"
"00-0022397","GUARD",14,2.78571428571429,0.0682274717054045,0.5,0,0,-0.0456254746440253,-0.0240857280373764,"INSUFFICIENT","OBSERVED","career"
"00-0022397","TACKLE",1,5,1.75800764432643,1,0,0,-0.0456254746440253,-0.0160577185953294,"INSUFFICIENT","OBSERVED","career"
"00-0022736","END",90,3.03333333333333,-0.122195467963077,0.322222222222222,0.0555555555555556,0.266666666666667,-0.100080984093153,-0.113349674415107,"MODERATE","OBSERVED","career"
"00-0022736","GUARD",172,3.68023255813953,-0.0465480182667639,0.366279069767442,0.0581395348837209,0.133720930232558,-0.100080984093153,-0.0603927508080713,"STRONG","OBSERVED","career"
"00-0022736","TACKLE",219,4.21004566210046,-0.112554477828234,0.374429223744292,0.0776255707762557,0.237442922374429,-0.100080984093153,-0.109872006057249,"STRONG","OBSERVED","career"
"00-0022821","END",69,4.40579710144928,-0.192980179825841,0.391304347826087,0.101449275362319,0.260869565217391,-0.146449458177184,-0.171337983710187,"MODERATE","OBSERVED","career"
"00-0022821","GUARD",50,3.5,-0.086345270780148,0.36,0.06,0.2,-0.146449458177184,-0.119129372996713,"MODERATE","OBSERVED","career"
"00-0022821","TACKLE",58,3.44827586206897,-0.0282051425251538,0.310344827586207,0.0689655172413793,0.224137931034483,-0.146449458177184,-0.0883293708227961,"MODERATE","OBSERVED","career"
"00-0022924","END",5,2,0.304256768367486,0.6,0,0.2,-0.722119231205795,-0.64316723123862,"INSUFFICIENT","OBSERVED","career"
"00-0022924","GUARD",5,2.6,-0.0898349349154159,0.6,0,0.2,-0.722119231205795,-0.673481977644997,"INSUFFICIENT","OBSERVED","career"
"00-0022924","TACKLE",3,0.333333333333333,-0.469990348326578,0,0,0.666666666666667,-0.722119231205795,-0.710113093925833,"INSUFFICIENT","OBSERVED","career"
"00-0022942","END",3,3.66666666666667,0.231548215489871,0.666666666666667,0,0.333333333333333,-0.886514465308825,-0.833273385270792,"INSUFFICIENT","OBSERVED","career"
"00-0022984","END",15,3.2,-0.0122843906593819,0.266666666666667,0.0666666666666667,0.333333333333333,0.0220599473595939,0.0151910797557988,"WEAK","OBSERVED","career"
"00-0022984","GUARD",9,4.55555555555556,0.174943919442335,0.444444444444444,0,0.111111111111111,0.0220599473595939,0.0420013350225602,"INSUFFICIENT","OBSERVED","career"
"00-0022984","TACKLE",7,5.85714285714286,-0.011709256330505,0.571428571428571,0.285714285714286,0,0.0220599473595939,0.0185318216009269,"INSUFFICIENT","OBSERVED","career"
"00-0022999","END",1,4,-0.0547681885655038,0,0,0,0.0426044458343659,0.0410081731392861,"INSUFFICIENT","OBSERVED","career"
"00-0022999","GUARD",31,3.19354838709677,0.1530554073613,0.483870967741935,0,0.0645161290322581,0.0426044458343659,0.0802305975633215,"WEAK","OBSERVED","career"
"00-0022999","TACKLE",13,2.15384615384615,-0.0278472370835236,0.384615384615385,0,0.307692307692308,0.0426044458343659,0.0300582557257007,"INSUFFICIENT","OBSERVED","career"
"00-0023436","END",50,5.08,0.215125445627972,0.54,0.16,0.12,0.000174021878121697,0.0978792144916898,"MODERATE","OBSERVED","career"
"00-0023436","GUARD",7,2.28571428571429,0.979858235309036,0.714285714285714,0,0.142857142857143,0.000174021878121697,0.102529088952993,"INSUFFICIENT","OBSERVED","career"
"00-0023436","TACKLE",5,6.6,0.180616151331924,0.6,0.2,0.2,0.000174021878121697,0.0140541856822603,"INSUFFICIENT","OBSERVED","career"
"00-0023437","END",11,2.81818181818182,-0.350801244647962,0.181818181818182,0,0.181818181818182,-0.0719450651235623,-0.115148135190723,"INSUFFICIENT","OBSERVED","career"
"00-0023437","GUARD",18,4.83333333333333,0.00163339330184062,0.388888888888889,0.111111111111111,0.222222222222222,-0.0719450651235623,-0.0549654208715462,"WEAK","OBSERVED","career"
"00-0023437","TACKLE",19,4.42105263157895,0.124037244200234,0.526315789473684,0.0526315789473684,0.0526315789473684,-0.0719450651235623,-0.0248100793368266,"WEAK","OBSERVED","career"
"00-0023439","END",23,2.8695652173913,-0.235215455965574,0.217391304347826,0,0.130434782608696,-0.0950280096595877,-0.133875133334741,"WEAK","OBSERVED","career"
"00-0023439","GUARD",16,3.9375,0.0558754380763276,0.4375,0,0.125,-0.0950280096595877,-0.0632588627678161,"WEAK","OBSERVED","career"
"00-0023439","TACKLE",17,3.35294117647059,-0.25125364985947,0.352941176470588,0,0.235294117647059,-0.0950280096595877,-0.129519384768653,"WEAK","OBSERVED","career"
"00-0023459","END",13,4.15384615384615,0.222756723366819,0.692307692307692,0.153846153846154,0.307692307692308,-0.684884462140964,-0.523249730475194,"INSUFFICIENT","OBSERVED","career"
"00-0023459","GUARD",3,-0.333333333333333,-1.8393587207317,0.333333333333333,0,0.666666666666667,-0.684884462140964,-0.73985942683576,"INSUFFICIENT","OBSERVED","career"
"00-0023459","TACKLE",2,7.5,1.22399541345658,1,0,0,-0.684884462140964,-0.623307691960398,"INSUFFICIENT","OBSERVED","career"
"00-0023500","END",252,4.30952380952381,-0.116757321314394,0.376984126984127,0.0912698412698413,0.238095238095238,-0.113274296097602,-0.116087508772703,"STRONG","OBSERVED","career"
"00-0023500","GUARD",562,4.12277580071174,-0.107935334657759,0.395017793594306,0.0569395017793594,0.149466192170818,-0.113274296097602,-0.1084503470153,"STRONG","OBSERVED","career"
"00-0023500","TACKLE",542,3.98708487084871,-0.116565832210928,0.350553505535055,0.0701107011070111,0.206642066420664,-0.113274296097602,-0.116237772133188,"STRONG","OBSERVED","career"
"00-0023545","END",13,3.61538461538462,-0.533686124813707,0.384615384615385,0.153846153846154,0.461538461538462,-0.0168603073296483,-0.108897781676125,"INSUFFICIENT","OBSERVED","career"
"00-0023545","GUARD",34,3.82352941176471,0.130352655903313,0.470588235294118,0.117647058823529,0.205882352941176,-0.0168603073296483,0.0363869346907845,"WEAK","OBSERVED","career"
