"gsis_id","field_third","carries","yards_per_carry","epa_per_rush_raw","success_rate","explosive_rate","stuff_rate","td_rate","first_down_rate","carries_total","carries_charted","carries_uncharted","epa_overall","carry_share","epa_per_rush","evidence_class","output_class","window"
"00-0019596","LEFT",8,1,-0.265482814936791,0.5,0,0.375,0.125,0.5,108,92,16,-0.0777944261823455,0.0869565217391304,-0.0998754130946333,"INSUFFICIENT","OBSERVED","career"
"00-0019596","MIDDLE",79,1.70886075949367,0.455155209399861,0.784810126582279,0,0.151898734177215,0.177215189873418,0.784810126582279,108,92,16,-0.0777944261823455,0.858695652173913,0.225105006990275,"MODERATE","OBSERVED","career"
"00-0019596","RIGHT",5,1.2,0.514559095271397,0.6,0,0.2,0.2,0.6,108,92,16,-0.0777944261823455,0.0543478260869565,-0.0322287706859038,"INSUFFICIENT","OBSERVED","career"
"00-0020245","LEFT",13,4.46153846153846,0.0414972815823814,0.538461538461538,0.0769230769230769,0.307692307692308,0.153846153846154,0.384615384615385,43,35,8,-0.78395139893414,0.371428571428571,-0.63695368870517,"INSUFFICIENT","OBSERVED","career"
"00-0020245","MIDDLE",7,10.8571428571429,0.543260753803354,0.428571428571429,0.285714285714286,0.142857142857143,0.142857142857143,0.285714285714286,43,35,8,-0.78395139893414,0.2,-0.645287442677984,"INSUFFICIENT","OBSERVED","career"
"00-0020245","RIGHT",15,5.06666666666667,-0.271037779251735,0.533333333333333,0.133333333333333,0.2,0,0.4,43,35,8,-0.78395139893414,0.428571428571429,-0.681368674997659,"WEAK","OBSERVED","career"
"00-0020531","LEFT",5,-2,-0.304304762772418,0.4,0,0.4,0.4,0.4,48,43,5,0.631820060807324,0.116279069767442,0.559810458993498,"INSUFFICIENT","OBSERVED","career"
"00-0020531","MIDDLE",30,1.46666666666667,1.2102002448412,0.866666666666667,0,0,0.366666666666667,0.9,48,43,5,0.631820060807324,0.697674418604651,0.824613455485284,"WEAK","OBSERVED","career"
"00-0020531","RIGHT",8,1.125,0.56144339318331,0.625,0,0.25,0,0.625,48,43,5,0.631820060807324,0.186046511627907,0.623540452851557,"INSUFFICIENT","OBSERVED","career"
"00-0021206","LEFT",1,1,0.533606810786296,1,0,0,1,1,26,14,12,-0.998033919680785,0.0714285714285714,-0.972925055246898,"INSUFFICIENT","OBSERVED","career"
"00-0021206","MIDDLE",10,1.5,1.02840982563794,1,0,0,0.4,1,26,14,12,-0.998033919680785,0.714285714285714,-0.708541956063825,"INSUFFICIENT","OBSERVED","career"
"00-0021206","RIGHT",3,0.333333333333333,-1.9456950178101,0,0,0.666666666666667,0,0,26,14,12,-0.998033919680785,0.214285714285714,-1.04316063863932,"INSUFFICIENT","OBSERVED","career"
"00-0021429","LEFT",1,3,-0.0673248399980366,0,0,0,0,0,28,16,12,-0.398402911071342,0.0625,-0.392975401709485,"INSUFFICIENT","OBSERVED","career"
"00-0021429","MIDDLE",14,1.57142857142857,0.662410493398759,0.857142857142857,0,0.142857142857143,0.0714285714285715,0.857142857142857,28,16,12,-0.398402911071342,0.875,-0.19770848319862,"INSUFFICIENT","OBSERVED","career"
"00-0021429","RIGHT",1,-3,-1.58656928822165,0,0,1,0,0,28,16,12,-0.398402911071342,0.0625,-0.417881048401675,"INSUFFICIENT","OBSERVED","career"
"00-0022178","LEFT",100,2.64,-0.272714085782726,0.32,0.03,0.3,0.00999999999999999,0.15,306,305,1,-0.115680915566689,0.327868852459016,-0.213826646951712,"STRONG","OBSERVED","career"
"00-0022178","MIDDLE",78,4.67948717948718,-0.00709212160570757,0.487179487179487,0.0769230769230769,0.115384615384615,0.0128205128205128,0.320512820512821,306,305,1,-0.115680915566689,0.255737704918033,-0.0543046407191779,"MODERATE","OBSERVED","career"
"00-0022178","RIGHT",127,3.77165354330709,-0.0521792606290487,0.393700787401575,0.047244094488189,0.165354330708661,0.031496062992126,0.259842519685039,306,305,1,-0.115680915566689,0.416393442622951,-0.0725541231758853,"STRONG","OBSERVED","career"
"00-0022397","LEFT",6,2.83333333333333,0.149562440388675,0.5,0,0,0,0.166666666666667,20,20,0,-0.0456254746440253,0.3,-0.0278811187319617,"INSUFFICIENT","OBSERVED","career"
"00-0022397","MIDDLE",4,2.5,-1.01440438005375,0.5,0,0.5,0,0,20,20,0,-0.0456254746440253,0.2,-0.106174156232133,"INSUFFICIENT","OBSERVED","career"
"00-0022397","RIGHT",10,2.8,0.224773338500244,0.6,0,0,0.1,0.5,20,20,0,-0.0456254746440253,0.5,-0.0069970727662726,"INSUFFICIENT","OBSERVED","career"
"00-0022736","LEFT",213,3.76056338028169,-0.0443872298637871,0.384976525821596,0.0610328638497653,0.154929577464789,0.0469483568075118,0.244131455399061,626,625,1,-0.100080984093153,0.3408,-0.0566276154087026,"STRONG","OBSERVED","career"
"00-0022736","MIDDLE",144,3.54861111111111,-0.129939545833883,0.395833333333333,0.0347222222222222,0.194444444444444,0.00694444444444446,0.125,626,625,1,-0.100080984093153,0.2304,-0.121157615910139,"STRONG","OBSERVED","career"
"00-0022736","RIGHT",268,3.83208955223881,-0.127607469932675,0.343283582089552,0.0708955223880597,0.246268656716418,0.0223880597014926,0.17910447761194,626,625,1,-0.100080984093153,0.4288,-0.122572137157153,"STRONG","OBSERVED","career"
"00-0022821","LEFT",87,3.52873563218391,-0.218497234279276,0.333333333333333,0.0689655172413793,0.298850574712644,0.0344827586206897,0.172413793103448,222,222,0,-0.146449458177184,0.391891891891892,-0.189089978727401,"MODERATE","OBSERVED","career"
"00-0022821","MIDDLE",45,2.68888888888889,-0.294288566708565,0.311111111111111,0.0222222222222222,0.311111111111111,0.0222222222222222,0.111111111111111,222,222,0,-0.146449458177184,0.202702702702703,-0.209809076119204,"MODERATE","OBSERVED","career"
"00-0022821","RIGHT",90,4.13333333333333,-0.00288372034613778,0.377777777777778,0.0888888888888889,0.166666666666667,0.0666666666666667,0.222222222222222,222,222,0,-0.146449458177184,0.405405405405405,-0.0603100154785561,"MODERATE","OBSERVED","career"
"00-0022924","LEFT",4,2,0.0114311681390973,0.25,0,0.5,0,0.25,45,29,16,-0.722119231205795,0.137931034482759,-0.67627233124674,"INSUFFICIENT","OBSERVED","career"
"00-0022924","MIDDLE",16,1.5625,0.660356916341698,0.75,0,0.125,0.125,0.8125,45,29,16,-0.722119231205795,0.551724137931034,-0.431071621195797,"WEAK","OBSERVED","career"
"00-0022924","RIGHT",9,1.77777777777778,-0.0426207278084193,0.555555555555556,0,0.222222222222222,0.111111111111111,0.222222222222222,45,29,16,-0.722119231205795,0.310344827586207,-0.633488991632225,"INSUFFICIENT","OBSERVED","career"
"00-0022942","LEFT",2,4.5,-0.0696698253159411,0.5,0,0.5,0,0.5,57,14,43,-0.886514465308825,0.142857142857143,-0.86016463821228,"INSUFFICIENT","OBSERVED","career"
"00-0022942","MIDDLE",11,-0.636363636363636,-0.638251254975223,0.181818181818182,0,0.727272727272727,0,0.0909090909090909,57,14,43,-0.886514465308825,0.785714285714286,-0.848051151031788,"INSUFFICIENT","OBSERVED","career"
"00-0022942","RIGHT",1,2,0.833984297101494,1,0,0,0,0,57,14,43,-0.886514465308825,0.0714285714285714,-0.858309567564393,"INSUFFICIENT","OBSERVED","career"
"00-0022984","LEFT",20,4.7,0.235845257432084,0.4,0.1,0.15,0.1,0.3,32,32,0,0.0220599473595939,0.625,0.0755062748777164,"WEAK","OBSERVED","career"
"00-0022984","MIDDLE",1,2,-0.602346305269748,0,0,0,0,0,32,32,0,0.0220599473595939,0.03125,0.0118237792837031,"INSUFFICIENT","OBSERVED","career"
"00-0022984","RIGHT",11,3.27272727272727,-0.309876411624084,0.363636363636364,0.0909090909090909,0.272727272727273,0,0.181818181818182,32,32,0,0.0220599473595939,0.34375,-0.0293668124829476,"INSUFFICIENT","OBSERVED","career"
"00-0022999","LEFT",22,2.68181818181818,0.198547967114295,0.454545454545455,0,0.181818181818182,0.136363636363636,0.363636363636364,85,85,0,0.0426044458343659,0.258823529411765,0.0844429515436153,"WEAK","OBSERVED","career"
"00-0022999","MIDDLE",40,3.05,-0.0176639365406975,0.45,0.025,0.125,0.1,0.4,85,85,0,0.0426044458343659,0.470588235294118,0.0184970928843406,"MODERATE","OBSERVED","career"
"00-0022999","RIGHT",23,3.1304347826087,-0.00174434430284789,0.434782608695652,0,0.0869565217391304,0.0869565217391304,0.304347826086957,85,85,0,0.0426044458343659,0.270588235294118,0.0303150220614031,"WEAK","OBSERVED","career"
"00-0023436","LEFT",32,5.09375,0.34078879128158,0.5625,0.125,0.09375,0.125,0.375,103,84,19,0.000174021878121697,0.380952380952381,0.118648724279325,"WEAK","OBSERVED","career"
"00-0023436","MIDDLE",22,2.27272727272727,0.168991309896089,0.454545454545455,0,0.0909090909090909,0.0909090909090909,0.454545454545455,103,84,19,0.000174021878121697,0.261904761904762,0.0454664650048933,"WEAK","OBSERVED","career"
"00-0023436","RIGHT",30,4.66666666666667,0.253770645473696,0.566666666666667,0.166666666666667,0.166666666666667,0.0333333333333333,0.466666666666667,103,84,19,0.000174021878121697,0.357142857142857,0.0847062297433132,"WEAK","OBSERVED","career"
"00-0023437","LEFT",26,3.65384615384615,-0.136090410704708,0.384615384615385,0,0.153846153846154,0,0.230769230769231,111,111,0,-0.0719450651235623,0.234234234234234,-0.0913378440201879,"WEAK","OBSERVED","career"
"00-0023437","MIDDLE",63,3.77777777777778,-0.103384083441673,0.333333333333333,0.0476190476190476,0.0793650793650794,0.0158730158730159,0.238095238095238,111,111,0,-0.0719450651235623,0.567567567567568,-0.0880479769450337,"MODERATE","OBSERVED","career"
"00-0023437","RIGHT",22,4.86363636363636,0.0938929866560184,0.409090909090909,0.136363636363636,0.136363636363636,0,0.272727272727273,111,111,0,-0.0719450651235623,0.198198198198198,-0.0274519292802601,"WEAK","OBSERVED","career"
"00-0023439","LEFT",23,3.56521739130435,-0.115785522462355,0.391304347826087,0,0.173913043478261,0,0.0869565217391305,71,71,0,-0.0950280096595877,0.323943661971831,-0.100780091520595,"WEAK","OBSERVED","career"
