"gsis_id","bucket","targets","catch_rate","yards_per_target","air_yards","yac","epa_per_target","success_rate","explosive_rate","n_opp","targets_eligible","targets_charted_mz","mz_coverage_rate","target_share_vs_bucket","evidence_class","availability","source","family","window"
"00-0021547","MAN",26,0.538461538461538,7.03846153846154,7.65384615384615,5.07142857142857,0.41122515955759,0.5,0.192307692307692,10,48,45,0.9375,0.577777777777778,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0021547","ZONE",19,0.736842105263158,7.89473684210526,8.26315789473684,3.92857142857143,-0.318603339057259,0.421052631578947,0.157894736842105,10,48,45,0.9375,0.422222222222222,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0022127","MAN",38,0.710526315789474,5.23684210526316,6.1578947368421,2.66666666666667,0.241630300439398,0.552631578947368,0.0789473684210526,16,102,100,0.980392156862745,0.38,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0022127","ZONE",62,0.790322580645161,6.43548387096774,6.5,2.24489795918367,0.20107944272316,0.612903225806452,0.0483870967741935,16,102,100,0.980392156862745,0.62,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0022921","MAN",88,0.545454545454545,5.10227272727273,9.48863636363637,2.375,-0.128061036455744,0.420454545454545,0.102272727272727,21,294,293,0.996598639455782,0.300341296928328,"MODERATE","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0022921","ZONE",205,0.731707317073171,7.30731707317073,7.22926829268293,4.12666666666667,0.0716902420501384,0.517073170731707,0.117073170731707,26,294,293,0.996598639455782,0.699658703071672,"STRONG","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0022943","MAN",31,0.709677419354839,8.80645161290323,9.67741935483871,3.27272727272727,0.596139516268165,0.612903225806452,0.258064516129032,14,70,68,0.971428571428571,0.455882352941176,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0022943","ZONE",37,0.756756756756757,7.64864864864865,10.1351351351351,3.21428571428571,0.327981805650681,0.594594594594595,0.135135135135135,14,70,68,0.971428571428571,0.544117647058823,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0023500","MAN",20,0.75,7.4,2,8.46666666666667,0.216569132405321,0.6,0.2,10,51,51,1,0.392156862745098,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_coverage","career"
"00-0023500","ZONE",31,0.838709677419355,5.32258064516129,0.935483870967742,5.73076923076923,0.131578455420001,0.483870967741935,0,15,51,51,1,0.607843137254902,"WEAK","PRIOR_ONLY","participation","receiver_coverage","career"
