"gsis_id","bucket","targets","receptions","catch_rate","yards_per_target","air_yards","yac","epa_per_target","success_rate","explosive_rate","n_opp","targets_eligible","targets_charted_route","route_coverage_rate","targeted_route_share","evidence_class","availability","source","family","metric_note","window"
"00-0021547","CORNER",8,5,0.625,11.25,13.375,5.4,0.669964908171096,0.625,0.375,4,48,45,0.9375,0.177777777777778,"WEAK","PRIOR_ONLY","participation","receiver_route","TARGETED route only. targeted_route_share is a share of TARGETS, not routes run. YPRR NOT computable from this source (spec §10).","career"
"00-0021547","CROSS",6,6,1,10.3333333333333,7,3.33333333333333,-0.518961652638002,0.833333333333333,0.166666666666667,4,48,45,0.9375,0.133333333333333,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_route","TARGETED route only. targeted_route_share is a share of TARGETS, not routes run. YPRR NOT computable from this source (spec §10).","career"
"00-0021547","FLAT",2,2,1,3.5,0.5,3,-0.934976293356158,0,0,2,48,45,0.9375,0.0444444444444444,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_route","TARGETED route only. targeted_route_share is a share of TARGETS, not routes run. YPRR NOT computable from this source (spec §10).","career"
"00-0021547","GO",2,0,0,0,13.5,,-0.380584707876551,0,0,2,48,45,0.9375,0.0444444444444444,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_route","TARGETED route only. targeted_route_share is a share of TARGETS, not routes run. YPRR NOT computable from this source (spec §10).","career"
"00-0021547","HITCH",12,8,0.666666666666667,6.41666666666667,5.91666666666667,3.5,0.311152816484481,0.416666666666667,0.166666666666667,8,48,45,0.9375,0.266666666666667,"WEAK","PRIOR_ONLY","participation","receiver_route","TARGETED route only. targeted_route_share is a share of TARGETS, not routes run. YPRR NOT computable from this source (spec §10).","career"
"00-0021547","IN",5,3,0.6,9,9.4,6.33333333333333,0.0134618363405889,0.4,0.2,4,48,45,0.9375,0.111111111111111,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_route","TARGETED route only. targeted_route_share is a share of TARGETS, not routes run. YPRR NOT computable from this source (spec §10).","career"
"00-0021547","OUT",6,4,0.666666666666667,8.66666666666667,6.5,6.5,0.758861355580545,0.666666666666667,0.166666666666667,4,48,45,0.9375,0.133333333333333,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_route","TARGETED route only. targeted_route_share is a share of TARGETS, not routes run. YPRR NOT computable from this source (spec §10).","career"
"00-0021547","POST",3,0,0,0,7.33333333333333,,-0.580748808740279,0,0,3,48,45,0.9375,0.0666666666666667,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_route","TARGETED route only. targeted_route_share is a share of TARGETS, not routes run. YPRR NOT computable from this source (spec §10).","career"
"00-0021547","SCREEN",1,0,0,0,0,,-1.58850132744507,0,0,1,48,45,0.9375,0.0222222222222222,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_route","TARGETED route only. targeted_route_share is a share of TARGETS, not routes run. YPRR NOT computable from this source (spec §10).","career"
"00-0022127","CORNER",1,0,0,0,11,,-0.708800743916072,0,0,1,102,100,0.980392156862745,0.01,"INSUFFICIENT","PRIOR_ONLY","participation","receiver_route","TARGETED route only. targeted_route_share is a share of TARGETS, not routes run. YPRR NOT computable from this source (spec §10).","career"
