"gsis_id","depth_bin","field_third","targets","receptions","catch_rate","air_yards","yards_per_target","epa_per_target_raw","success_rate","td_rate","explosive_rate","first_down_rate","yac","targets_total","targets_charted","targets_uncharted","epa_overall","target_share_of_self","epa_per_target","evidence_class","output_class","window"
"00-0006101","BEHIND_LOS","LEFT",0,0,,,,,,,,,,245,245,0,0.45439763423973,0,0.45439763423973,"INSUFFICIENT","OBSERVED","career"
"00-0006101","BEHIND_LOS","MIDDLE",1,1,1,-6,3,-0.357277206145227,0,0,0,0,9,245,245,0,0.45439763423973,0.00408163265306122,0.441091489315386,"INSUFFICIENT","OBSERVED","career"
"00-0006101","BEHIND_LOS","RIGHT",4,4,1,-4,5.25,0.283440378116211,0.5,0,0,0.25,9.25,245,245,0,0.45439763423973,0.0163265306122449,0.44371280573201,"INSUFFICIENT","OBSERVED","career"
"00-0006101","SHORT","LEFT",49,35,0.714285714285714,4.83673469387755,4.87755102040816,0.0236471565677879,0.530612244897959,0.0204081632653061,0,0.285714285714286,2.17142857142857,245,245,0,0.45439763423973,0.2,0.260757511249591,"MODERATE","OBSERVED","career"
"00-0006101","SHORT","MIDDLE",24,16,0.666666666666667,6.375,5.25,0.343320218636412,0.625,0.25,0,0.5,1.4375,245,245,0,0.45439763423973,0.0979591836734694,0.422661229781639,"WEAK","OBSERVED","career"
"00-0006101","SHORT","RIGHT",74,57,0.77027027027027,4.75675675675676,6.16216216216216,0.393704109559547,0.702702702702703,0.0405405405405405,0,0.445945945945946,3.19298245614035,245,245,0,0.45439763423973,0.302040816326531,0.420880314640226,"MODERATE","OBSERVED","career"
"00-0006101","INTERMEDIATE","LEFT",11,7,0.636363636363636,11.5454545454545,8.36363636363636,0.516371935277923,0.636363636363636,0,0,0.636363636363636,2,245,245,0,0.45439763423973,0.0448979591836735,0.463999286513253,"INSUFFICIENT","OBSERVED","career"
"00-0006101","INTERMEDIATE","MIDDLE",46,37,0.804347826086957,12.7608695652174,12.1304347826087,1.22185038525486,0.782608695652174,0.0869565217391305,0.326086956521739,0.782608695652174,2.16216216216216,245,245,0,0.45439763423973,0.187755102040816,0.787443167699127,"MODERATE","OBSERVED","career"
"00-0006101","INTERMEDIATE","RIGHT",31,17,0.548387096774194,12.5161290322581,7.93548387096774,0.328907742561792,0.548387096774194,0.0645161290322581,0.193548387096774,0.548387096774194,2.88235294117647,245,245,0,0.45439763423973,0.126530612244898,0.411648330481311,"WEAK","OBSERVED","career"
"00-0006101","DEEP","LEFT",0,0,,,,,,,,,,245,245,0,0.45439763423973,0,0.45439763423973,"INSUFFICIENT","OBSERVED","career"
"00-0006101","DEEP","MIDDLE",2,1,0.5,21.5,12.5,0.677942126523703,0.5,0,0.5,0.5,3,245,245,0,0.45439763423973,0.00816326530612245,0.461608746894051,"INSUFFICIENT","OBSERVED","career"
"00-0006101","DEEP","RIGHT",3,1,0.333333333333333,21.3333333333333,7.66666666666667,-0.472932408777221,0.333333333333333,0,0.333333333333333,0.333333333333333,3,245,245,0,0.45439763423973,0.0122448979591837,0.410239060762732,"INSUFFICIENT","OBSERVED","career"
"00-0011754","BEHIND_LOS","LEFT",0,0,,,,,,,,,,50,50,0,0.229609481959535,0,0.229609481959535,"INSUFFICIENT","OBSERVED","career"
"00-0011754","BEHIND_LOS","MIDDLE",0,0,,,,,,,,,,50,50,0,0.229609481959535,0,0.229609481959535,"INSUFFICIENT","OBSERVED","career"
"00-0011754","BEHIND_LOS","RIGHT",0,0,,,,,,,,,,50,50,0,0.229609481959535,0,0.229609481959535,"INSUFFICIENT","OBSERVED","career"
"00-0011754","SHORT","LEFT",8,6,0.75,6.875,10.375,0.592801242659334,0.625,0.125,0.125,0.375,7.33333333333333,50,50,0,0.229609481959535,0.16,0.272337924394806,"INSUFFICIENT","OBSERVED","career"
"00-0011754","SHORT","MIDDLE",2,1,0.5,6,6,-2.27708555033314,0.5,0,0,0.5,3,50,50,0,0.229609481959535,0.04,0.148748351885578,"INSUFFICIENT","OBSERVED","career"
"00-0011754","SHORT","RIGHT",7,4,0.571428571428571,5,4,-0.121300955918351,0.428571428571429,0,0,0.142857142857143,2.25,50,50,0,0.229609481959535,0.14,0.192947197405129,"INSUFFICIENT","OBSERVED","career"
