"season","team","starting_qb","prior_qb","starting_qb_changed","coordinator_known","scheme_reset_hint","prior_weight_multiplier"
2012,"ARI","00-0027754",,FALSE,FALSE,FALSE,1
2013,"ARI","00-0021429","00-0027754",TRUE,FALSE,TRUE,0.6
2014,"ARI","00-0025430","00-0021429",TRUE,FALSE,TRUE,0.6
2015,"ARI","00-0021429","00-0025430",TRUE,FALSE,TRUE,0.6
2016,"ARI","00-0021429","00-0021429",FALSE,FALSE,FALSE,1
2017,"ARI","00-0021429","00-0021429",FALSE,FALSE,FALSE,1
2018,"ARI","00-0034343","00-0021429",TRUE,FALSE,TRUE,0.6
2019,"ARI","00-0035228","00-0034343",TRUE,FALSE,TRUE,0.6
2020,"ARI","00-0035228","00-0035228",FALSE,FALSE,FALSE,1
2021,"ARI","00-0035228","00-0035228",FALSE,FALSE,FALSE,1
2022,"ARI","00-0035228","00-0035228",FALSE,FALSE,FALSE,1
2023,"ARI","00-0035228","00-0035228",FALSE,FALSE,FALSE,1
2024,"ARI","00-0035228","00-0035228",FALSE,FALSE,FALSE,1
2025,"ARI","00-0033119","00-0035228",TRUE,FALSE,TRUE,0.6
2012,"ATL","00-0026143",,FALSE,FALSE,FALSE,1
2013,"ATL","00-0026143","00-0026143",FALSE,FALSE,FALSE,1
2014,"ATL","00-0026143","00-0026143",FALSE,FALSE,FALSE,1
2015,"ATL","00-0026143","00-0026143",FALSE,FALSE,FALSE,1
2016,"ATL","00-0026143","00-0026143",FALSE,FALSE,FALSE,1
2017,"ATL","00-0026143","00-0026143",FALSE,FALSE,FALSE,1
2018,"ATL","00-0026143","00-0026143",FALSE,FALSE,FALSE,1
2019,"ATL","00-0026143","00-0026143",FALSE,FALSE,FALSE,1
2020,"ATL","00-0026143","00-0026143",FALSE,FALSE,FALSE,1
2021,"ATL","00-0026143","00-0026143",FALSE,FALSE,FALSE,1
2022,"ATL","00-0032268","00-0026143",TRUE,FALSE,TRUE,0.6
2023,"ATL","00-0038122","00-0032268",TRUE,FALSE,TRUE,0.6
